"Sample","Time","Temp_C","Humidity_RH","Dew_Point_C","Comments","Serial_Number","site"
1,"3/5/25 20:36",22.5,47,10.6,NA,"065051692","CojoHQ"
2,"3/5/25 21:06",21,48.5,9.7,NA,"065051692","CojoHQ"
3,"3/5/25 21:36",20.5,49,9.4,NA,"065051692","CojoHQ"
4,"3/5/25 22:06",20,49.5,9.1,NA,"065051692","CojoHQ"
5,"3/5/25 22:36",19.5,49,8.5,NA,"065051692","CojoHQ"
6,"3/5/25 23:06",20,48.5,8.8,NA,"065051692","CojoHQ"
7,"3/5/25 23:36",19,49,8.1,NA,"065051692","CojoHQ"
8,"3/6/25 00:06",19,49.5,8.2,NA,"065051692","CojoHQ"
9,"3/6/25 00:36",18.5,50,7.9,NA,"065051692","CojoHQ"
10,"3/6/25 01:06",18,50,7.4,NA,"065051692","CojoHQ"
11,"3/6/25 01:36",18,50,7.4,NA,"065051692","CojoHQ"
12,"3/6/25 02:06",18,50.5,7.6,NA,"065051692","CojoHQ"
13,"3/6/25 02:36",17.5,50.5,7.1,NA,"065051692","CojoHQ"
14,"3/6/25 03:06",17.5,50.5,7.1,NA,"065051692","CojoHQ"
15,"3/6/25 03:36",17.5,50.5,7.1,NA,"065051692","CojoHQ"
16,"3/6/25 04:06",17,50.5,6.7,NA,"065051692","CojoHQ"
17,"3/6/25 04:36",17,51,6.8,NA,"065051692","CojoHQ"
18,"3/6/25 05:06",17,51,6.8,NA,"065051692","CojoHQ"
19,"3/6/25 05:36",17,51,6.8,NA,"065051692","CojoHQ"
20,"3/6/25 06:06",16.5,51,6.3,NA,"065051692","CojoHQ"
21,"3/6/25 06:36",16.5,51,6.3,NA,"065051692","CojoHQ"
22,"3/6/25 07:06",17,50.5,6.7,NA,"065051692","CojoHQ"
23,"3/6/25 07:36",17,51.5,6.9,NA,"065051692","CojoHQ"
24,"3/6/25 08:06",20,47.5,8.5,NA,"065051692","CojoHQ"
25,"3/6/25 08:36",20.5,44.5,8,NA,"065051692","CojoHQ"
26,"3/6/25 09:06",20.5,45,8.2,NA,"065051692","CojoHQ"
27,"3/6/25 09:36",21,43,8,NA,"065051692","CojoHQ"
28,"3/6/25 10:06",12.5,59,4.7,NA,"065051692","CojoHQ"
29,"3/6/25 10:36",12,66,5.9,NA,"065051692","CojoHQ"
30,"3/6/25 11:06",11,73.5,6.5,NA,"065051692","CojoHQ"
31,"3/6/25 11:36",10.5,78,6.8,NA,"065051692","CojoHQ"
32,"3/6/25 12:06",9.5,80,6.2,NA,"065051692","CojoHQ"
33,"3/6/25 12:36",10.5,79,7,NA,"065051692","CojoHQ"
34,"3/6/25 13:06",11,78,7.3,NA,"065051692","CojoHQ"
35,"3/6/25 13:36",11,78.5,7.4,NA,"065051692","CojoHQ"
36,"3/6/25 14:06",10,75.5,5.9,NA,"065051692","CojoHQ"
37,"3/6/25 14:36",13,63.5,6.2,NA,"065051692","CojoHQ"
38,"3/6/25 15:06",14.5,64.5,7.9,NA,"065051692","CojoHQ"
39,"3/6/25 15:36",13.5,59.5,5.8,NA,"065051692","CojoHQ"
40,"3/6/25 16:06",11,67.5,5.2,NA,"065051692","CojoHQ"
41,"3/6/25 16:36",10.5,69.5,5.2,NA,"065051692","CojoHQ"
42,"3/6/25 17:06",9.5,74,5.1,NA,"065051692","CojoHQ"
43,"3/6/25 17:36",9,79,5.6,NA,"065051692","CojoHQ"
44,"3/6/25 18:06",8.5,81.5,5.5,NA,"065051692","CojoHQ"
45,"3/6/25 18:36",6.5,83,3.8,NA,"065051692","CojoHQ"
46,"3/6/25 19:06",7,84.5,4.6,NA,"065051692","CojoHQ"
47,"3/6/25 19:36",7.5,82.5,4.7,NA,"065051692","CojoHQ"
48,"3/6/25 20:06",8,81,4.9,NA,"065051692","CojoHQ"
49,"3/6/25 20:36",8,82.5,5.2,NA,"065051692","CojoHQ"
50,"3/6/25 21:06",8,82,5.1,NA,"065051692","CojoHQ"
51,"3/6/25 21:36",8,82.5,5.2,NA,"065051692","CojoHQ"
52,"3/6/25 22:06",8,84,5.5,NA,"065051692","CojoHQ"
