Date, PAR(µmol/m²s)
Mar 6 2025 9:45:00 AM, 463.889
Mar 6 2025 9:50:00 AM, 416.515
Mar 6 2025 9:55:00 AM, 378.58
Mar 6 2025 10:00:00 AM, 402.317
Mar 6 2025 10:05:00 AM, 347.663
Mar 6 2025 10:10:00 AM, 303.183
Mar 6 2025 10:15:00 AM, 337.294
Mar 6 2025 10:20:00 AM, 351.406
Mar 6 2025 10:25:00 AM, 348.774
Mar 6 2025 10:30:00 AM, 376.821
Mar 6 2025 10:35:00 AM, 443.796
Mar 6 2025 10:40:00 AM, 406.162
Mar 6 2025 10:45:00 AM, 317.074
Mar 6 2025 10:50:00 AM, 224.534
Mar 6 2025 10:55:00 AM, 209.547
Mar 6 2025 11:00:00 AM, 230.289
Mar 6 2025 11:05:00 AM, 268.398
Mar 6 2025 11:10:00 AM, 256.64
Mar 6 2025 11:15:00 AM, 268.073
Mar 6 2025 11:20:00 AM, 278.179
Mar 6 2025 11:25:00 AM, 263.79
Mar 6 2025 11:30:00 AM, 260.014
Mar 6 2025 11:35:00 AM, 262.163
Mar 6 2025 11:40:00 AM, 292.37
Mar 6 2025 11:45:00 AM, 328.89
Mar 6 2025 11:50:00 AM, 351.191
Mar 6 2025 11:55:00 AM, 305.859
Mar 6 2025 12:00:00 PM, 311.569
Mar 6 2025 12:05:00 PM, 310.824
Mar 6 2025 12:10:00 PM, 310.934
Mar 6 2025 12:15:00 PM, 329.692
Mar 6 2025 12:20:00 PM, 395.686
Mar 6 2025 12:25:00 PM, 396.053
Mar 6 2025 12:30:00 PM, 386.465
Mar 6 2025 12:35:00 PM, 422.067
Mar 6 2025 12:40:00 PM, 442.574
Mar 6 2025 12:45:00 PM, 477.908
Mar 6 2025 12:50:00 PM, 537.977
Mar 6 2025 12:55:00 PM, 529.415
Mar 6 2025 1:00:00 PM, 469.164
Mar 6 2025 1:05:00 PM, 478.045
Mar 6 2025 1:10:00 PM, 367.815
Mar 6 2025 1:15:00 PM, 448.395
Mar 6 2025 1:20:00 PM, 619.421
Mar 6 2025 1:25:00 PM, 598.124
Mar 6 2025 1:30:00 PM, 499.601
Mar 6 2025 1:35:00 PM, 598.652
Mar 6 2025 1:40:00 PM, 645.847
Mar 6 2025 1:45:00 PM, 605.396
Mar 6 2025 1:50:00 PM, 459.237
Mar 6 2025 1:55:00 PM, 363.577
Mar 6 2025 2:00:00 PM, 381.959
Mar 6 2025 2:05:00 PM, 389.642
Mar 6 2025 2:10:00 PM, 485.546
Mar 6 2025 2:15:00 PM, 603.086
Mar 6 2025 2:20:00 PM, 725.377
Mar 6 2025 2:25:00 PM, 661.082
Mar 6 2025 2:30:00 PM, 1323.903
Mar 6 2025 2:35:00 PM, 1375.688
Mar 6 2025 2:40:00 PM, 1465.977
Mar 6 2025 2:45:00 PM, 1126.913
Mar 6 2025 2:50:00 PM, 1276.056
Mar 6 2025 2:55:00 PM, 1211.429
Mar 6 2025 3:00:00 PM, 1247.77
Mar 6 2025 3:05:00 PM, 1215.533
Mar 6 2025 3:10:00 PM, 1184.443
Mar 6 2025 3:15:00 PM, 1160.804
Mar 6 2025 3:20:00 PM, 1137.359
Mar 6 2025 3:25:00 PM, 825.573
Mar 6 2025 3:30:00 PM, 1034.937
Mar 6 2025 3:35:00 PM, 957.025
Mar 6 2025 3:40:00 PM, 195.424
Mar 6 2025 3:45:00 PM, 184.048
Mar 6 2025 3:50:00 PM, 157.411
Mar 6 2025 3:55:00 PM, 153.656
Mar 6 2025 4:00:00 PM, 150.508
Mar 6 2025 4:05:00 PM, 162.015
Mar 6 2025 4:10:00 PM, 169.901
Mar 6 2025 4:15:00 PM, 140.903
Mar 6 2025 4:20:00 PM, 131.706
Mar 6 2025 4:25:00 PM, 127.689
Mar 6 2025 4:30:00 PM, 124.023
Mar 6 2025 4:35:00 PM, 120.25
Mar 6 2025 4:40:00 PM, 116.868
Mar 6 2025 4:45:00 PM, 113.506
Mar 6 2025 4:50:00 PM, 109.399
Mar 6 2025 4:55:00 PM, 104.449
Mar 6 2025 5:00:00 PM, 100.19
Mar 6 2025 5:05:00 PM, 96.188
Mar 6 2025 5:10:00 PM, 90.078
Mar 6 2025 5:15:00 PM, 84.887
Mar 6 2025 5:20:00 PM, 78.065
Mar 6 2025 5:25:00 PM, 71.064
Mar 6 2025 5:30:00 PM, 63.668
Mar 6 2025 5:35:00 PM, 56.139
Mar 6 2025 5:40:00 PM, 47.774
Mar 6 2025 5:45:00 PM, 39.298
Mar 6 2025 5:50:00 PM, 30.626
Mar 6 2025 5:55:00 PM, 22.209
Mar 6 2025 6:00:00 PM, 14.574
Mar 6 2025 6:05:00 PM, 8.435
Mar 6 2025 6:10:00 PM, 4.188
Mar 6 2025 6:15:00 PM, 1.798
Mar 6 2025 6:20:00 PM, 0.743
Mar 6 2025 6:25:00 PM, 0.421
Mar 6 2025 6:30:00 PM, 0.317
Mar 6 2025 6:35:00 PM, 0.248
Mar 6 2025 6:40:00 PM, 0.194
Mar 6 2025 6:45:00 PM, 0.227
Mar 6 2025 6:50:00 PM, 0.275
Mar 6 2025 6:55:00 PM, 0.224
Mar 6 2025 7:00:00 PM, 0.29
Mar 6 2025 7:05:00 PM, 0.278
Mar 6 2025 7:10:00 PM, 0.242
Mar 6 2025 7:15:00 PM, 0.215
Mar 6 2025 7:20:00 PM, 0.293
Mar 6 2025 7:25:00 PM, 0.221
Mar 6 2025 7:30:00 PM, 0.293
Mar 6 2025 7:35:00 PM, 0.269
Mar 6 2025 7:40:00 PM, 0.361
Mar 6 2025 7:45:00 PM, 0.26
Mar 6 2025 7:50:00 PM, 0.269
Mar 6 2025 7:55:00 PM, 0.215
Mar 6 2025 8:00:00 PM, 0.212
Mar 6 2025 8:05:00 PM, 0.284
Mar 6 2025 8:10:00 PM, 0.18
Mar 6 2025 8:15:00 PM, 0.218
Mar 6 2025 8:20:00 PM, 0.209
Mar 6 2025 8:25:00 PM, 0.254
Mar 6 2025 8:30:00 PM, 0.257
Mar 6 2025 8:35:00 PM, 0.239
Mar 6 2025 8:40:00 PM, 0.32
Mar 6 2025 8:45:00 PM, 0.186
Mar 6 2025 8:50:00 PM, 0.248
Mar 6 2025 8:55:00 PM, 0.218
Mar 6 2025 9:00:00 PM, 0.093
Mar 6 2025 9:05:00 PM, 0.254
Mar 6 2025 9:10:00 PM, 0.236
Mar 6 2025 9:15:00 PM, 0.302
Mar 6 2025 9:20:00 PM, 0.242
Mar 6 2025 9:25:00 PM, 0.233
Mar 6 2025 9:30:00 PM, 0.224
Mar 6 2025 9:35:00 PM, 0.254
Mar 6 2025 9:40:00 PM, 0.224
Mar 6 2025 9:45:00 PM, 0.251
Mar 6 2025 9:50:00 PM, 0.168
Mar 6 2025 9:55:00 PM, 0.272
Mar 6 2025 10:00:00 PM, 0.263
Mar 6 2025 10:05:00 PM, 0.239
Mar 6 2025 10:10:00 PM, 0.2
Mar 6 2025 10:15:00 PM, 0.135
Mar 6 2025 10:20:00 PM, 0.171
Mar 6 2025 10:25:00 PM, 0.192
Mar 6 2025 10:30:00 PM, 0.188
Mar 6 2025 10:35:00 PM, 0.376
Mar 6 2025 10:40:00 PM, 0.248
Mar 6 2025 10:45:00 PM, 0.165
Mar 6 2025 10:50:00 PM, 0.209
Mar 6 2025 10:55:00 PM, 0.2
Mar 6 2025 11:00:00 PM, 0.287
Mar 6 2025 11:05:00 PM, 0.245
Mar 6 2025 11:10:00 PM, 0.203
Mar 6 2025 11:15:00 PM, 0.317
Mar 6 2025 11:20:00 PM, 0.159
Mar 6 2025 11:25:00 PM, 0.147
Mar 6 2025 11:30:00 PM, 0.287
Mar 6 2025 11:35:00 PM, 0.275
Mar 6 2025 11:40:00 PM, 0.32
Mar 6 2025 11:45:00 PM, 0.299
Mar 6 2025 11:50:00 PM, 0.224
Mar 6 2025 11:55:00 PM, 0.272
Mar 7 2025 12:00:00 AM, 0.144
Mar 7 2025 12:05:00 AM, 0.212
Mar 7 2025 12:10:00 AM, 0.245
Mar 7 2025 12:15:00 AM, 0.2
Mar 7 2025 12:20:00 AM, 0.197
Mar 7 2025 12:25:00 AM, 0.281
Mar 7 2025 12:30:00 AM, 0.218
