Date, PAR(µmol/m²s)
Mar 11 2025 5:30:00 PM,557.733
Mar 11 2025 5:40:00 PM,545.634
Mar 11 2025 5:50:00 PM,471.679
Mar 11 2025 6:00:00 PM,395.677
Mar 11 2025 6:10:00 PM,322.626
Mar 11 2025 6:20:00 PM,250.808
Mar 11 2025 6:30:00 PM,154.392
Mar 11 2025 6:40:00 PM,76.459
Mar 11 2025 6:50:00 PM,52.158
Mar 11 2025 7:00:00 PM,30.486
Mar 11 2025 7:10:00 PM,12.47
Mar 11 2025 7:20:00 PM,3.124
Mar 11 2025 7:30:00 PM,0.692
Mar 11 2025 7:40:00 PM,0.18
Mar 11 2025 7:50:00 PM,0.192
Mar 11 2025 8:00:00 PM,0.135
Mar 11 2025 8:10:00 PM,0.242
Mar 11 2025 8:20:00 PM,0.34
Mar 11 2025 8:30:00 PM,0.206
Mar 11 2025 8:40:00 PM,0.26
Mar 11 2025 8:50:00 PM,0.245
Mar 11 2025 9:00:00 PM,0.281
Mar 11 2025 9:10:00 PM,0.293
Mar 11 2025 9:20:00 PM,0.254
Mar 11 2025 9:30:00 PM,0.209
Mar 11 2025 9:40:00 PM,0.334
Mar 11 2025 9:50:00 PM,0.194
Mar 11 2025 10:00:00 PM,0.302
Mar 11 2025 10:10:00 PM,0.364
Mar 11 2025 10:20:00 PM,0.311
Mar 11 2025 10:30:00 PM,0.26
Mar 11 2025 10:40:00 PM,0.305
Mar 11 2025 10:50:00 PM,0.192
Mar 11 2025 11:00:00 PM,0.263
Mar 11 2025 11:10:00 PM,0.242
Mar 11 2025 11:20:00 PM,0.266
Mar 11 2025 11:30:00 PM,0.23
Mar 11 2025 11:40:00 PM,0.188
Mar 11 2025 11:50:00 PM,0.311
Mar 12 2025 12:00:00 AM,0.34
Mar 12 2025 12:10:00 AM,0.326
Mar 12 2025 12:20:00 AM,0.218
Mar 12 2025 12:30:00 AM,0.254
Mar 12 2025 12:40:00 AM,0.329
Mar 12 2025 12:50:00 AM,0.254
Mar 12 2025 1:00:00 AM,0.212
Mar 12 2025 1:10:00 AM,0.242
Mar 12 2025 1:20:00 AM,0.233
Mar 12 2025 1:30:00 AM,0.144
Mar 12 2025 1:40:00 AM,0.23
Mar 12 2025 1:50:00 AM,0.355
Mar 12 2025 2:00:00 AM,0.326
Mar 12 2025 2:10:00 AM,0.257
Mar 12 2025 2:20:00 AM,0.317
Mar 12 2025 2:30:00 AM,0.263
Mar 12 2025 2:40:00 AM,0.266
Mar 12 2025 2:50:00 AM,0.254
Mar 12 2025 3:00:00 AM,0.236
Mar 12 2025 3:10:00 AM,0.263
Mar 12 2025 3:20:00 AM,0.23
Mar 12 2025 3:30:00 AM,0.287
Mar 12 2025 3:40:00 AM,0.263
Mar 12 2025 3:50:00 AM,0.209
Mar 12 2025 4:00:00 AM,0.293
Mar 12 2025 4:10:00 AM,0.174
Mar 12 2025 4:20:00 AM,0.218
Mar 12 2025 4:30:00 AM,0.197
Mar 12 2025 4:40:00 AM,0.272
Mar 12 2025 4:50:00 AM,0.281
Mar 12 2025 5:00:00 AM,0.293
Mar 12 2025 5:10:00 AM,0.272
Mar 12 2025 5:20:00 AM,0.299
Mar 12 2025 5:30:00 AM,0.221
