Date, PAR(µmol/m²s)
Mar 11 2025 6:15:00 PM, 207.326
Mar 11 2025 6:20:00 PM, 248.329
Mar 11 2025 6:25:00 PM, 214.554
Mar 11 2025 6:30:00 PM, 182.15
Mar 11 2025 6:35:00 PM, 151.093
Mar 11 2025 6:40:00 PM, 105.668
Mar 11 2025 6:45:00 PM, 67.464
Mar 11 2025 6:50:00 PM, 54.518
Mar 11 2025 6:55:00 PM, 41.855
Mar 11 2025 7:00:00 PM, 29.726
Mar 11 2025 7:05:00 PM, 18.955
Mar 11 2025 7:10:00 PM, 10.774
Mar 11 2025 7:15:00 PM, 5.38
Mar 11 2025 7:20:00 PM, 2.203
Mar 11 2025 7:25:00 PM, 0.948
Mar 11 2025 7:30:00 PM, 0.472
Mar 11 2025 7:35:00 PM, 0.358
Mar 11 2025 7:40:00 PM, 0.287
Mar 11 2025 7:45:00 PM, 0.254
Mar 11 2025 7:50:00 PM, 0.26
Mar 11 2025 7:55:00 PM, 0.233
Mar 11 2025 8:00:00 PM, 0.278
Mar 11 2025 8:05:00 PM, 0.15
Mar 11 2025 8:10:00 PM, 0.266
Mar 11 2025 8:15:00 PM, 0.29
Mar 11 2025 8:20:00 PM, 0.215
Mar 11 2025 8:25:00 PM, 0.117
Mar 11 2025 8:30:00 PM, 0.302
Mar 11 2025 8:35:00 PM, 0.236
Mar 11 2025 8:40:00 PM, 0.281
Mar 11 2025 8:45:00 PM, 0.224
Mar 11 2025 8:50:00 PM, 0.206
Mar 11 2025 8:55:00 PM, 0.165
Mar 11 2025 9:00:00 PM, 0.168
Mar 11 2025 9:05:00 PM, 0.257
Mar 11 2025 9:10:00 PM, 0.278
Mar 11 2025 9:15:00 PM, 0.18
Mar 11 2025 9:20:00 PM, 0.275
Mar 11 2025 9:25:00 PM, 0.192
Mar 11 2025 9:30:00 PM, 0.165
Mar 11 2025 9:35:00 PM, 0.358
Mar 11 2025 9:40:00 PM, 0.338
Mar 11 2025 9:45:00 PM, 0.224
Mar 11 2025 9:50:00 PM, 0.281
Mar 11 2025 9:55:00 PM, 0.203
Mar 11 2025 10:00:00 PM, 0.278
Mar 11 2025 10:05:00 PM, 0.299
Mar 11 2025 10:10:00 PM, 0.233
Mar 11 2025 10:15:00 PM, 0.314
Mar 11 2025 10:20:00 PM, 0.287
Mar 11 2025 10:25:00 PM, 0.296
Mar 11 2025 10:30:00 PM, 0.248
Mar 11 2025 10:35:00 PM, 0.224
Mar 11 2025 10:40:00 PM, 0.275
Mar 11 2025 10:45:00 PM, 0.236
Mar 11 2025 10:50:00 PM, 0.284
Mar 11 2025 10:55:00 PM, 0.254
Mar 11 2025 11:00:00 PM, 0.263
Mar 11 2025 11:05:00 PM, 0.218
Mar 11 2025 11:10:00 PM, 0.182
Mar 11 2025 11:15:00 PM, 0.197
Mar 11 2025 11:20:00 PM, 0.215
Mar 11 2025 11:25:00 PM, 0.272
Mar 11 2025 11:30:00 PM, 0.218
Mar 11 2025 11:35:00 PM, 0.233
Mar 11 2025 11:40:00 PM, 0.144
Mar 11 2025 11:45:00 PM, 0.23
Mar 11 2025 11:50:00 PM, 0.188
Mar 11 2025 11:55:00 PM, 0.215
Mar 12 2025 12:00:00 AM, 0.275
Mar 12 2025 12:05:00 AM, 0.257
Mar 12 2025 12:10:00 AM, 0.248
Mar 12 2025 12:15:00 AM, 0.302
Mar 12 2025 12:20:00 AM, 0.203
Mar 12 2025 12:25:00 AM, 0.233
Mar 12 2025 12:30:00 AM, 0.37
Mar 12 2025 12:35:00 AM, 0.26
Mar 12 2025 12:40:00 AM, 0.302
Mar 12 2025 12:45:00 AM, 0.263
Mar 12 2025 12:50:00 AM, 0.278
Mar 12 2025 12:55:00 AM, 0.192
Mar 12 2025 1:00:00 AM, 0.218
Mar 12 2025 1:05:00 AM, 0.218
Mar 12 2025 1:10:00 AM, 0.299
Mar 12 2025 1:15:00 AM, 0.144
Mar 12 2025 1:20:00 AM, 0.311
Mar 12 2025 1:25:00 AM, 0.242
Mar 12 2025 1:30:00 AM, 0.197
Mar 12 2025 1:35:00 AM, 0.221
Mar 12 2025 1:40:00 AM, 0.284
Mar 12 2025 1:45:00 AM, 0.257
Mar 12 2025 1:50:00 AM, 0.215
Mar 12 2025 1:55:00 AM, 0.248
Mar 12 2025 2:00:00 AM, 0.272
Mar 12 2025 2:05:00 AM, 0.18
Mar 12 2025 2:10:00 AM, 0.299
Mar 12 2025 2:15:00 AM, 0.326
Mar 12 2025 2:20:00 AM, 0.355
Mar 12 2025 2:25:00 AM, 0.254
Mar 12 2025 2:30:00 AM, 0.349
Mar 12 2025 2:35:00 AM, 0.194
Mar 12 2025 2:40:00 AM, 0.254
Mar 12 2025 2:45:00 AM, 0.305
Mar 12 2025 2:50:00 AM, 0.302
Mar 12 2025 2:55:00 AM, 0.308
Mar 12 2025 3:00:00 AM, 0.203
Mar 12 2025 3:05:00 AM, 0.332
Mar 12 2025 3:10:00 AM, 0.278
Mar 12 2025 3:15:00 AM, 0.23
Mar 12 2025 3:20:00 AM, 0.227
Mar 12 2025 3:25:00 AM, 0.159
Mar 12 2025 3:30:00 AM, 0.215
Mar 12 2025 3:35:00 AM, 0.296
Mar 12 2025 3:40:00 AM, 0.203
Mar 12 2025 3:45:00 AM, 0.242
Mar 12 2025 3:50:00 AM, 0.349
Mar 12 2025 3:55:00 AM, 0.323
Mar 12 2025 4:00:00 AM, 0.349
Mar 12 2025 4:05:00 AM, 0.263
Mar 12 2025 4:10:00 AM, 0.275
Mar 12 2025 4:15:00 AM, 0.236
Mar 12 2025 4:20:00 AM, 0.245
Mar 12 2025 4:25:00 AM, 0.278
Mar 12 2025 4:30:00 AM, 0.376
Mar 12 2025 4:35:00 AM, 0.272
Mar 12 2025 4:40:00 AM, 0.153
Mar 12 2025 4:45:00 AM, 0.212
Mar 12 2025 4:50:00 AM, 0.239
Mar 12 2025 4:55:00 AM, 0.194
Mar 12 2025 5:00:00 AM, 0.296
Mar 12 2025 5:05:00 AM, 0.332
Mar 12 2025 5:10:00 AM, 0.34
Mar 12 2025 5:15:00 AM, 0.23
Mar 12 2025 5:20:00 AM, 0.221
Mar 12 2025 5:25:00 AM, 0.287
Mar 12 2025 5:30:00 AM, 0.257
Mar 12 2025 5:35:00 AM, 0.248
Mar 12 2025 5:40:00 AM, 0.272
Mar 12 2025 5:45:00 AM, 0.385
Mar 12 2025 5:50:00 AM, 0.245
Mar 12 2025 5:55:00 AM, 0.272
