Time,Time_cat,Petal status,uv index,Date,Plant,Photo,Wet_weight_mg,Dry_weight_mg,Petal_area_cm2,water_cm2,tissue_cm2,water_mg
14:00,14,open,6,23-Jun-22,5,x,50.4,6.1,,,,7.26
14:00,14,open,6,23-Jun-22,6,x,50.5,7.8,4.751,8.99,1.64,5.474358974
14:00,14,open,6,23-Jun-22,7,x,67,9.4,6.341,9.08,1.48,6.127659574
14:00,14,open,6,23-Jun-22,8,x,45.6,7.9,4.875,7.73,1.62,4.772151899
14:00,14,open,6,23-Jun-22,9,x,100.5,16.4,7.369,11.41,2.23,5.12804878
14:00,14,open,6,23-Jun-22,10,x,57.6,8.8,4,12.2,2.2,5.545454545
14:00,14,open,6,23-Jun-22,11,x,48.6,8.2,6.115,6.61,1.34,4.926829268
14:00,14,open,6,23-Jun-22,12,x,95.3,14.7,6.293,12.81,2.34,5.482993197
14:00,14,open,6,23-Jun-22,13,x,37.6,6,3.602,8.77,1.67,5.266666667
14:00,14,open,6,23-Jun-22,14,x,59,9.2,7.578,6.57,1.21,5.413043478
14:00,14,open,6,23-Jun-22,15,x,58.8,9.3,3.485,14.2,2.67,5.322580645
14:00,14,open,6,23-Jun-22,16,x,81.4,14.3,5.081,13.21,2.81,4.692307692
14:00,14,open,6,23-Jun-22,17,x,68.2,8.9,4.209,14.09,2.11,6.662921348
14:00,14,open,6,23-Jun-22,18,x,69.2,9.5,4.889,12.21,1.94,6.284210526
14:00,14,open,6,23-Jun-22,19,x,60.4,9,3.365,15.27,2.67,5.711111111
14:00,14,open,6,23-Jun-22,20,x,67.4,9.7,7.277,7.93,1.33,5.948453608
14:00,14,open,6,23-Jun-22,21,x,33.4,6.3,2.86,9.48,2.2,4.301587302
14:00,14,open,6,23-Jun-22,22,x,50.8,7,4.225,10.37,1.66,6.257142857
14:00,14,open,6,23-Jun-22,23,x,79.7,10.9,5.597,12.29,1.95,6.311926606
14:00,14,open,6,23-Jun-22,24,x,36.5,5.9,3.757,8.14,1.57,5.186440678
14:00,14,open,6,23-Jun-22,25,x,75.6,11.9,,,,5.352941176
14:00,14,open,6,23-Jun-22,26,x,80.1,11.3,5.056,13.61,2.23,6.088495575
14:00,14,open,6,23-Jun-22,27,x,60.7,10.6,3.629,13.81,2.92,4.726415094
14:00,14,open,6,23-Jun-22,28,x,34.1,5.1,2.936,9.88,1.74,5.68627451
14:00,14,open,6,23-Jun-22,29,x,44,7.3,2.839,12.93,2.57,5.02739726
14:00,14,open,6,23-Jun-22,30,x,57.2,9.2,5.127,9.36,1.79,5.217391304
9:00,9,closed,3,28-Jun-22,31,x,97.8,11.7,7.209,11.94,1.62,7.358974359
9:00,9,closed,3,28-Jun-22,32,x,78.9,9.3,6.088,11.43,1.53,7.483870968
9:00,9,closed,3,28-Jun-22,33,x,40.9,6.8,2.669,12.78,2.55,5.014705882
9:00,9,closed,3,28-Jun-22,34,x,50.6,8.1,4.064,10.46,1.99,5.24691358
9:00,9,closed,3,28-Jun-22,35,x,79.1,10.4,5.216,13.17,1.99,6.605769231
9:00,9,closed,3,28-Jun-22,36,x,48.3,7.7,3.03,13.4,2.54,5.272727273
9:00,9,closed,3,28-Jun-22,37,x,108.3,15.2,5.689,16.36,2.67,6.125
9:00,9,closed,3,28-Jun-22,38,x,27.3,4.8,1.912,11.77,2.51,4.6875
9:00,9,closed,3,28-Jun-22,39,x,97.1,15.6,5.962,13.67,2.62,5.224358974
9:00,9,closed,3,28-Jun-22,40,x,91.5,10.9,6.846,11.77,1.59,7.394495413
9:00,9,closed,3,28-Jun-22,41,x,67.3,8.7,4.925,11.9,1.77,6.735632184
9:00,9,closed,3,28-Jun-22,42,x,58.2,8.6,4.032,12.3,2.13,5.76744186
9:00,9,closed,3,28-Jun-22,43,x,101.1,13.8,9.388,9.3,1.47,6.326086957
9:00,9,closed,3,28-Jun-22,44,x,47,7.8,3.269,11.99,2.39,5.025641026
9:00,9,closed,3,28-Jun-22,45,x,58.9,9.1,5.133,9.7,1.77,5.472527473
9:00,9,closed,3,28-Jun-22,46,x,81.4,11.3,7.132,9.83,1.58,6.203539823
9:00,9,closed,3,28-Jun-22,47,x,58.3,8.6,4.548,10.93,1.89,5.779069767
9:00,9,closed,3,28-Jun-22,48,x,48.1,6.5,2.993,13.9,2.17,6.4
9:00,9,closed,3,28-Jun-22,49,x,45.3,6.2,5.606,6.97,1.11,6.306451613
9:00,9,closed,3,28-Jun-22,50,x,56.2,8.1,5.9,8.15,1.37,5.938271605
9:00,9,closed,3,28-Jun-22,51,x,47.9,7.4,3.641,11.12,2.03,5.472972973
9:00,9,closed,3,28-Jun-22,52,x,41.2,7.4,4.563,7.41,1.62,4.567567568
9:00,9,closed,3,28-Jun-22,53,x,35.1,6.4,2.91,9.86,2.2,4.484375
