Obs#,Time,Date,Species,t_or_b,Plant,Location,configName,configAuthor,Sample,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,10:58:19,3/8/24,Eschscholzia_californica,b,AD_1,"37.7238623, -122.4765200","\""Petals \""",Kevin Simonin,1,0.004010951,2.53226688,0.004004608,0.045315903,0.855843,0.854161,1.993146886,1.137303886,8.379775,8.396277,19.55407521,0.4417875,7.5,40.35,40.27,18.38,17.39,17.39,101.93,120.3,120.2,0.1,72,3.85,10:55:53,3/8/24,0.21,1,0,0.001,0.034,-0.012,-0.014,-0.027,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.486229,2.497026,1.357094,0.844353,0.355634,-0.010782,0.163358,0.169243,59.009315,0.00013,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
2,10:58:48,3/8/24,Eschscholzia_californica,b,AD_1,"37.7238623, -122.4765200","\""Petals \""",Kevin Simonin,2,0.054496825,2.53355312,0.05334928,0.577787543,0.893437,0.872018,1.981841157,1.088404157,8.555484,8.765635,19.44315861,0.4417875,7.5,42.32,41.3,18.31,17.3,17.3,101.93,120.4,120.2,0.1,84,3.85,10:55:53,3/8/24,0.21,1,0.003,0.003,-9999,-0.003,-0.007,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.48779,2.500012,1.357435,0.844307,0.356686,-0.010893,0.16589,0.179557,58.686375,0.000128,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
3,10:59:24,3/8/24,Eschscholzia_californica,b,AD_1,"37.7238623, -122.4765200","\""Petals \""",Kevin Simonin,3,-0.003198309,2.53226688,-0.003202353,-0.035647188,0.872045,0.873367,1.990629623,1.118584623,8.569042,8.556063,19.53129536,0.4417875,7.5,41.52,41.58,18.22,17.37,17.37,101.92,120.3,120,0.2,38,3.848,10:55:53,3/8/24,0.21,1,0.001,0.002,0.038,-0.005,-0.016,-0.029,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.488225,2.498828,1.357181,0.843945,0.357875,-0.009306,0.16894,0.139476,58.261871,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
4,11:00:32,3/8/24,Eschscholzia_californica,t,AD_1,"37.7238623, -122.4765200","\""Petals \""",Kevin Simonin,4,0.017869956,2.5284,0.017744543,0.200249409,0.833749,0.826297,1.968099495,1.134350495,8.107109,8.180229,19.31023838,0.4417875,7.5,40.05,39.69,18.08,17.19,17.19,101.92,120,120.3,-0.3,5,3.848,10:55:53,3/8/24,0.21,1,-0.001,0.001,-9999,-0.005,-0.008,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.485429,2.496639,1.354849,0.844612,0.359927,-0.009635,0.174546,0.110725,57.581665,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
5,11:00:54,3/8/24,Eschscholzia_californica,t,AD_1,"37.7238623, -122.4765200","\""Petals \""",Kevin Simonin,5,0.012518534,2.53355312,0.012456983,0.13621692,0.839059,0.834007,1.938407582,1.099348582,8.183356,8.232927,19.0189127,0.4417875,7.5,40.43,40.18,18.03,16.95,16.95,101.92,120.4,120,0.3,4,3.848,10:55:53,3/8/24,0.21,1,0.001,0.002,-9999,-0.002,-0.007,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.486175,2.497219,1.357826,0.843797,0.360613,-0.011654,0.176335,0.110341,57.373165,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
6,11:01:09,3/8/24,Eschscholzia_californica,t,AD_1,"37.7238623, -122.4765200","\""Petals \""",Kevin Simonin,6,0.004880372,2.53355312,0.004870989,0.054416917,0.833864,0.831845,1.956918585,1.123054585,8.162048,8.181852,19.20053556,0.4417875,7.5,40.26,40.16,18,17.1,17.1,101.92,120.4,120,0.3,3,3.847,10:55:53,3/8/24,0.21,1,0.001,0.003,0.026,-0.003,-0.01,-0.019,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.486146,2.496968,1.357789,0.843805,0.361075,-0.009734,0.177531,0.109713,57.22654,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
7,11:03:26,3/8/24,Eschscholzia_californica,b,AD_2,"37.7244120, -122.4765284","\""Petals \""",Kevin Simonin,7,0.0063964,2.53226688,0.006380283,0.076121738,0.81956,0.816734,2.018473557,1.198913557,8.014051,8.041781,19.80643271,0.4417875,7.5,39.75,39.61,17.93,17.59,17.59,101.91,120.3,119.9,0.3,966,3.845,10:55:53,3/8/24,0.21,1,0.001,0.003,-9999,0,-0.004,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.485343,2.496215,1.356693,0.843504,0.362152,-0.003597,0.188673,0.945392,56.217312,0.000127,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
8,11:03:39,3/8/24,Eschscholzia_californica,b,AD_2,"37.7244120, -122.4765284","\""Petals \""",Kevin Simonin,8,0.005945129,2.53355312,0.005931211,0.075399297,0.808535,0.805738,2.085648965,1.277113965,7.906367,7.933814,20.46559675,0.4417875,7.5,39.17,39.04,17.94,18.11,18.11,101.91,120.4,120.2,0.1,992,3.844,10:55:53,3/8/24,0.21,1,0,0.001,-9999,-0.003,-0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.484469,2.495331,1.357516,0.844417,0.361897,0.001956,0.189792,0.967757,56.167244,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
9,11:04:31,3/8/24,Eschscholzia_californica,b,AD_2,"37.7244120, -122.4765284","\""Petals \""",Kevin Simonin,9,0.071872811,2.53355312,0.06989014,0.982626602,0.848143,0.811698,2.259424191,1.411281191,7.963605,8.321163,22.16642981,0.4417875,7.5,40.82,39.06,18.05,19.39,19.39,101.93,120.4,120.4,0,1328,3.844,10:55:53,3/8/24,0.21,1,0.001,0.002,-9999,0.001,-0.005,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.484489,2.497811,1.35806,0.844794,0.360364,0.014845,0.19418,1.25976,55.976986,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
10,11:04:53,3/8/24,Eschscholzia_californica,t,AD_2,"37.7244120, -122.4765284","\""Petals \""",Kevin Simonin,10,0.015717088,2.53097928,0.01562009,0.223005601,0.833468,0.825183,2.266462398,1.432994398,8.096641,8.177935,22.23766089,0.4417875,7.5,39.95,39.55,18.12,19.44,19.44,101.92,120.2,120.2,0,91,3.843,10:55:53,3/8/24,0.21,1,-0.003,0.002,-9999,-0.003,-0.004,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.485204,2.496471,1.35661,0.844348,0.359402,0.01467,0.195883,0.185823,55.889011,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
