Obs#,Time,Date,Species,t_or_b,Plant,Location,configName,configAuthor,Sample,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,11:01:44,3/15/24,Eschscholzia californica,b,KG_1,"37.72540, 122.48106",Petals,Kevin Simonin,1,0.003595562,2.53226688,0.003590464,0.072194256,0.576526,0.573866,2.57366369,1.99713769,5.687374,5.713735,25.50707324,0.4417875,7.5,21,20.9,22.56,21.5,21.5,100.9,120.3,120.8,-0.4,111,4.127,11:01:15,3/15/24,-0.04,1,0.001,0.003,-9999,0.003,0,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.437753,2.47401,1.354106,0.848611,0.300687,-0.011595,0.3692,0.204865,41.632534,0.000139,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
2,11:02:09,3/15/24,Eschscholzia californica,b,KG_1,"37.72540, 122.48107",Petals,Kevin Simonin,2,0.004278117,2.52969032,0.004270894,0.083302718,0.644982,0.641909,2.581552202,1.936570202,6.361917,6.392364,25.58525473,0.4417875,7.5,23.54,23.43,22.52,21.55,21.55,100.9,120.1,120.9,-0.6,111,4.127,11:01:15,3/15/24,-0.04,1,0.001,0.001,-9999,-0.005,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.441833,2.47827,1.352931,0.84872,0.30111,-0.010627,0.369803,0.204591,41.616798,0.000137,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
3,11:02:26,3/15/24,Eschscholzia californica,b,KG_1,"37.72540, 122.48108",Petals,Kevin Simonin,3,0.006269971,2.5284,0.006254461,0.122632725,0.634702,0.630175,2.581552202,1.946850202,6.245648,6.290512,25.58525473,0.4417875,7.5,23.21,23.05,22.49,21.55,21.55,100.9,120,121,-0.8,113,4.127,11:01:15,3/15/24,-0.04,1,0.002,0.001,-9999,-0.002,-0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.441224,2.477726,1.351727,0.848971,0.301495,-0.01026,0.370263,0.206044,41.596771,0.00014,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
7,11:05:40,3/15/24,Eschscholzia californica,b,KG_2,"37.72540, 122.48112",Petals,Kevin Simonin,7,-0.003127599,2.53355312,-0.003131465,-0.058989963,0.621666,0.623837,2.492865861,1.871199861,6.183211,6.161699,24.70875073,0.4417875,7.5,23.09,23.18,22.24,20.98,20.98,100.89,120.4,121,-0.6,105,4.123,11:01:15,3/15/24,-0.04,1,0.001,0,-9999,-0.003,-0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.441463,2.477565,1.354675,0.849133,0.304607,-0.013781,0.375438,0.199588,41.481613,0.000134,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
8,11:05:52,3/15/24,Eschscholzia californica,b,KG_2,"37.72540, 122.48113",Petals,Kevin Simonin,8,0.005467297,2.53097928,0.005455512,0.105226377,0.587662,0.583783,2.503611422,1.915949422,5.786706,5.825156,24.8177183,0.4417875,7.5,21.86,21.71,22.22,21.05,21.05,100.88,120.2,118.8,1.2,102,4.123,11:01:15,3/15/24,-0.04,1,0,0.001,-9999,-0.001,-0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.439113,2.475501,1.353618,0.843839,0.30485,-0.01281,0.375746,0.197042,41.480183,0.000144,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
9,11:06:05,3/15/24,Eschscholzia californica,b,KG_2,"37.72540, 122.48114",Petals,Kevin Simonin,9,-0.001808552,2.53226688,-0.001809844,-0.034924916,0.595929,0.597216,2.512854166,1.916925166,5.919739,5.906989,24.90687051,0.4417875,7.5,22.19,22.24,22.19,21.11,21.11,100.89,120.3,121.1,-0.7,103,4.123,11:01:15,3/15/24,-0.04,1,0,0,-9999,0,0.002,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.43997,2.476069,1.353908,0.849182,0.305114,-0.011781,0.376069,0.197725,41.480183,0.000141,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
13,11:09:26,3/15/24,Eschscholzia californica,b,KG_3,"37.72540, 122.48118",Petals,Kevin Simonin,13,0.004225764,2.52969032,0.004218717,0.077676888,0.59815,0.595285,2.427739179,1.829589179,5.900908,5.929312,24.06561438,0.4417875,7.5,22.88,22.77,21.76,20.55,20.55,100.88,120.1,120.9,-0.7,87,4.12,11:01:15,3/15/24,-0.04,1,0,0,-9999,0.002,-0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.440877,2.477275,1.352927,0.848838,0.310503,-0.013114,0.379997,0.1832,41.229485,0.000148,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
14,11:09:53,3/15/24,Eschscholzia californica,b,KG_3,"37.72540, 122.48119",Petals,Kevin Simonin,14,0.002680024,2.53226688,0.00267719,0.049480333,0.58336,0.581537,2.420263917,1.836903917,5.764001,5.782067,23.98913586,0.4417875,7.5,22.37,22.3,21.71,20.5,20.5,100.89,120.3,121,-0.6,99,4.12,11:01:15,3/15/24,-0.04,1,0,0,-9999,0.001,-0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.440135,2.476438,1.354215,0.848946,0.311062,-0.013119,0.380674,0.194378,41.216255,0.000141,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
15,11:10:08,3/15/24,Eschscholzia californica,b,KG_3,"37.72540, 122.48120",Petals,Kevin Simonin,15,0.002276117,2.53355312,0.002274074,0.042268014,0.556369,0.554813,2.403889276,1.847520276,5.499566,5.51499,23.82919583,0.4417875,7.5,21.38,21.32,21.68,20.39,20.39,100.88,120.4,120.9,-0.4,100,4.12,11:01:15,3/15/24,-0.04,1,0.001,0,-9999,0.004,-0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.438541,2.474766,1.354821,0.848705,0.31143,-0.014015,0.38099,0.194587,41.199802,0.000143,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
19,11:12:38,3/15/24,Eschscholzia californica,b,KG_4,"37.72540, 122.48124",Petals,Kevin Simonin,19,0.003272563,2.53097928,0.003268337,0.058110358,0.590832,0.58869,2.358263572,1.767431572,5.835779,5.857012,23.37691883,0.4417875,7.5,22.98,22.9,21.48,20.08,20.08,100.88,120.2,121,-0.7,101,4.118,11:12:24,3/15/24,-0.05,1,0.001,0,-9999,-0.001,-0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.441123,2.477505,1.353576,0.849023,0.31394,-0.015276,0.384432,0.195401,41.091084,0.000147,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
