Obs#,Time,Date,Species,t_or_b,Plant,Location,configName,configAuthor,Sample,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,11:13:39,3/8/24,,b,JR_1,37.72439-122.47621,Petals,Kevin Simonin,1,-0.001147,2.537323,-0.001147,-0.018368,0.981149,0.981831,2.584666,1.603517,9.630326,9.623639,25.351793,0.441786,7.5,41.51,41.54,20.12,21.57,21.57,101.95,120.2,120.9,-0.6,744,4.034,11:13:16,3/8/24,0.04,1,0,0.002,0.02,-0.006,-0.019,-0.041,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.469651,2.506826,1.353357,0.848765,0.331612,0.017323,0.09939,0.759683,64.564705,0.000138,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
2,11:13:53,3/8/24,,b,JR_1,37.72439-122.47621,Petals,Kevin Simonin,2,-0.000655,2.537593,-0.000655,-0.010365,0.983461,0.983846,2.568236,1.584775,9.650467,9.646694,25.191629,0.441786,7.5,41.41,41.42,20.2,21.47,21.47,101.95,120.2,120.7,-0.4,344,4.033,11:13:16,3/8/24,0.04,1,0.005,0.004,-9999,-0.01,-0.021,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.469471,2.506658,1.353517,0.848254,0.330584,0.015242,0.100668,0.408946,64.293983,0.000146,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
3,11:14:05,3/8/24,,b,JR_1,37.72439-122.47621,Petals,Kevin Simonin,3,-0.005603,2.535775,-0.005616,-0.08921,0.963788,0.967103,2.555368,1.59158,9.486076,9.453562,25.06498,0.441786,7.5,40.41,40.55,20.26,21.38,21.38,101.95,120.1,121.1,-0.9,1165,4.033,11:13:16,3/8/24,0.04,1,0.002,-0.001,-9999,-0.009,-0.018,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.468194,2.505146,1.352438,0.849266,0.329713,0.013549,0.101845,1.128206,64.061523,0.000143,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
4,11:15:06,3/8/24,,t,JR_1,37.72439-122.47621,Petals,Kevin Simonin,4,0.001207,2.539596,0.001206,0.019687,0.97096,0.97023,2.606015,1.635056,9.513804,9.520962,25.553869,0.441786,7.5,39.8,39.77,20.63,21.7,21.7,101.98,120.4,121,-0.5,245,4.033,11:13:16,3/8/24,0.04,1,-0.002,-0.001,-9999,-0.005,-0.016,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.466982,2.504141,1.354708,0.848917,0.324883,0.012994,0.107466,0.322228,63.104511,0.000137,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
5,11:15:24,3/8/24,,t,JR_1,37.72439-122.47621,Petals,Kevin Simonin,5,0.004582,2.535225,0.004574,0.07819,0.978579,0.975672,2.690701,1.712122,9.566654,9.595159,26.382847,0.441786,7.5,39.82,39.7,20.75,22.23,22.23,101.99,120,120.9,-0.7,599,4.032,11:13:16,3/8/24,0.04,1,0,0.002,-9999,-0.001,-0.012,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.466857,2.504146,1.352112,0.848741,0.323336,0.017648,0.109048,0.632356,62.869907,0.000142,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
6,11:15:34,3/8/24,,t,JR_1,37.72439-122.47621,Petals,Kevin Simonin,6,0.006254,2.540361,0.006238,0.107147,0.954466,0.950494,2.674991,1.720525,9.319781,9.358723,26.228806,0.441786,7.5,38.68,38.52,20.81,22.13,22.13,101.99,120.4,120.8,-0.3,274,4.031,11:13:16,3/8/24,0.04,1,0.001,0.002,-9999,-0.003,-0.011,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.465118,2.502404,1.355164,0.848554,0.322482,0.015781,0.109938,0.347728,62.744022,0.000141,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
7,11:20:44,3/8/24,,b,JR_2,37.72435-122.47617,Petals,Kevin Simonin,7,0.000262,2.538054,0.000262,0.003835,0.928716,0.928574,2.394865,1.466149,9.106748,9.108144,23.487013,0.441786,7.5,35.79,35.78,21.64,20.33,20.33,101.97,120.2,120.9,-0.5,256,4.027,11:13:16,3/8/24,0.04,1,0.001,0.001,0.028,-0.008,-0.003,-0.011,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.460919,2.497803,1.353791,0.848743,0.31201,-0.0142,0.137969,0.331467,60.21595,0.000142,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
8,11:20:58,3/8/24,,b,JR_2,37.72435-122.47617,Petals,Kevin Simonin,8,0.008748,2.535301,0.008718,0.12366,0.936684,0.932086,2.359633,1.422949,9.141459,9.186555,23.142164,0.441786,7.5,36.13,35.95,21.62,20.09,20.09,101.96,120,121,-0.8,170,4.027,11:13:16,3/8/24,0.04,1,0.001,0.003,-9999,-0.004,-0.007,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.461181,2.498339,1.352157,0.849009,0.312231,-0.016685,0.13913,0.255929,60.120464,0.000141,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
9,11:21:16,3/8/24,,b,JR_2,37.72435-122.47617,Petals,Kevin Simonin,9,0.011615,2.537038,0.011563,0.174049,0.945845,0.939381,2.455126,1.50928,9.212713,9.27611,24.077946,0.441786,7.5,36.55,36.31,21.59,20.73,20.73,101.97,120.2,121.1,-0.7,150,4.027,11:13:16,3/8/24,0.04,1,-0.002,-0.003,-0.014,-0.005,-0.007,-0.012,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.461705,2.498994,1.353188,0.849171,0.31262,-0.009102,0.140736,0.239064,59.99744,0.000146,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
10,11:21:33,3/8/24,,t,JR_2,37.72435-122.47617,Petals,Kevin Simonin,10,0.005709,2.537046,0.005697,0.0826,0.967782,0.964714,2.421714,1.453932,9.461045,9.491125,23.749975,0.441786,7.5,37.45,37.33,21.57,20.51,20.51,101.97,120.2,120.6,-0.4,47,4.027,11:13:16,3/8/24,0.04,1,-0.001,-0.003,-9999,-0.003,-0.006,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.463217,2.500365,1.353192,0.848196,0.312864,-0.011385,0.142206,0.148541,59.896233,0.000147,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
