Obs#,Time,Date,Species,t_or_b,Plant,Location,configName,configAuthor,Sample,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,14:18:52,3/16/24,Eschscholzia californica,b,KG_19,"37.80691,122.25900","\""Petals \""",Kevin Simonin,1,0.001529577,2.53226688,0.001528654,0.02952463,1.242513,1.241425,3.162656283,1.920143283,12.216162,12.226872,31.12238027,0.4417875,7.5,43.37,43.33,23.26,24.91,24.91,101.62,120.3,119.9,0.3,1574,4.001,14:18:42,3/16/24,0.17,1,0.001,-0.001,-9999,-0.02,-0.04,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.48965,2.500515,1.356683,0.843626,0.292307,0.018379,0.050796,1.473556,47.452568,0.00013,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
2,14:19:07,3/16/24,Eschscholzia californica,b,KG_19,"37.80691,122.25901","\""Petals \""",Kevin Simonin,2,0.01095543,2.534838,0.010908285,0.197618794,1.232407,1.225134,3.034783645,1.802376645,12.056443,12.128017,29.86403902,0.4417875,7.5,42.88,42.63,23.31,24.22,24.22,101.62,120.5,119.9,0.5,1230,4.001,14:18:42,3/16/24,0.17,1,0,0.003,-9999,-0.016,-0.032,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.488614,2.499787,1.358481,0.843658,0.291721,0.009719,0.05228,1.174681,46.934723,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
3,14:19:19,3/16/24,Eschscholzia californica,b,KG_19,"37.80691,122.25902","\""Petals \""",Kevin Simonin,3,0.004358687,2.53226688,0.004351197,0.077070523,1.207163,1.204321,2.969879775,1.762716775,11.851832,11.879799,29.22822336,0.4417875,7.5,41.94,41.84,23.34,23.86,23.86,101.61,120.3,119.8,0.4,1252,4.001,14:18:42,3/16/24,0.17,1,0,-0.001,-9999,-0.013,-0.028,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.487445,2.498377,1.357049,0.843293,0.291421,0.005225,0.053524,1.193786,46.589615,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
4,14:19:44,3/16/24,Eschscholzia californica,t,KG_19,"37.80691,122.25903","\""Petals \""",Kevin Simonin,4,0.001056858,2.53226688,0.001056417,0.017669151,1.202429,1.201778,2.86786401,1.66543501,11.827269,11.833681,28.22422999,0.4417875,7.5,41.65,41.63,23.39,23.28,23.28,101.61,120.3,119.7,0.5,43,4.001,14:18:42,3/16/24,0.17,1,0,0,-9999,-0.01,-0.016,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.487123,2.497938,1.357392,0.843122,0.290852,-0.001989,0.056198,0.144295,46.037437,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
5,14:19:53,3/16/24,Eschscholzia californica,t,KG_19,"37.80691,122.25904","\""Petals \""",Kevin Simonin,5,0.006663306,2.53097928,0.00664581,0.113631019,1.193132,1.188938,2.895695417,1.702563417,11.699895,11.741169,28.49532983,0.4417875,7.5,41.31,41.17,23.4,23.44,23.44,101.62,120.2,119.8,0.3,53,4.001,14:18:42,3/16/24,0.17,1,-0.001,0.002,-9999,-0.009,-0.017,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.486436,2.497427,1.356401,0.84344,0.290762,-0.000256,0.057188,0.152444,45.89188,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
6,14:20:04,3/16/24,Eschscholzia californica,t,KG_19,"37.80691,122.25905","\""Petals \""",Kevin Simonin,6,0.006934465,2.53612152,0.006915556,0.117337154,1.197429,1.193112,2.886972837,1.689543837,11.740864,11.783341,28.40949455,0.4417875,7.5,41.43,41.29,23.41,23.39,23.39,101.62,120.6,120,0.5,50,4.001,14:18:42,3/16/24,0.17,1,-0.001,0.001,-9999,-0.005,-0.011,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.48661,2.497609,1.359023,0.843785,0.290646,-0.000899,0.058395,0.150496,45.733452,0.00013,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
7,14:22:27,3/16/24,Eschscholzia californica,b,KG_20,"37.80691,122.25906","\""Petals \""",Kevin Simonin,7,-0.000767662,2.53612152,-0.000767894,-0.014295202,1.216188,1.216714,3.067698086,1.851510086,11.975414,11.97024,30.1938788,0.4417875,7.5,41.75,41.77,23.54,24.4,24.4,101.6,120.6,119.7,0.7,1329,3.997,14:18:42,3/16/24,0.17,1,-0.002,0,-9999,-0.004,-0.004,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.487298,2.498055,1.359055,0.843066,0.289129,0.009204,0.074133,1.26108,44.553993,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
8,14:22:37,3/16/24,Eschscholzia californica,b,KG_20,"37.80691,122.25907","\""Petals \""",Kevin Simonin,8,-0.001250494,2.53355312,-0.001251111,-0.025457042,1.22989,1.230828,3.252431067,2.022541067,12.109864,12.100636,31.99951857,0.4417875,7.5,42.23,42.27,23.53,25.38,25.38,101.64,120.4,119.6,0.7,1599,3.998,14:18:42,3/16/24,0.17,1,-0.002,-0.001,-9999,-0.006,-0.006,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.488029,2.498774,1.357875,0.842946,0.289179,0.02074,0.075246,1.49474,44.509293,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
9,14:22:46,3/16/24,Eschscholzia californica,b,KG_20,"37.80691,122.25908","\""Petals \""",Kevin Simonin,9,-0.00126112,2.53612152,-0.001261748,-0.022338748,1.220064,1.220886,2.982404049,1.762340049,12.01231,12.004225,29.34281827,0.4417875,7.5,41.91,41.94,23.53,23.93,23.93,101.64,120.6,120.1,0.4,1611,3.997,14:18:42,3/16/24,0.17,1,-0.002,-0.002,-9999,-0.001,-0.002,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.487551,2.498296,1.359219,0.844043,0.289253,0.003897,0.076256,1.505943,44.478535,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
10,14:22:57,3/16/24,Eschscholzia californica,t,KG_20,"37.80691,122.25909","\""Petals \""",Kevin Simonin,10,0.011895826,2.53355312,0.011840232,0.199432508,1.218544,1.211196,2.895695417,1.677151417,11.917528,11.989829,28.492526,0.4417875,7.5,41.89,41.64,23.52,23.44,23.44,101.63,120.4,120,0.4,50,3.997,14:18:42,3/16/24,0.17,1,0.001,0.002,-9999,0,-0.005,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.487104,2.498262,1.35811,0.843721,0.28938,-0.001557,0.077537,0.150082,44.414879,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
