Obs#,Time,Date,Species,t_or_b,Plant,Location,configName,configAuthor,Sample,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,10:54:33,3/16/24,Eschscholzia californica,b,KS_1,"37.8525, -122.2892",Petals,Kevin Simonin,1,0.000862,2.534987,0.000862,0.015019,0.953554,0.952998,2.69134,1.737787,9.384099,9.389577,26.50144,0.441786,7.5,42.04,42.02,19.45,22.23,22.23,101.55,120,121,-0.9,1451,4.159,10:54:14,3/16/24,-0.25,1,-0.002,-0.005,-9999,-0.012,-0.025,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.470491,2.508204,1.351971,0.849123,0.340621,0.032629,0.197583,1.378855,56.817055,0.000137,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
2,10:55:26,3/16/24,Eschscholzia californica,b,KS_1,"37.8525, -122.2892",Petals,Kevin Simonin,2,0.00163,2.537348,0.001629,0.026247,0.943379,0.942408,2.552122,1.608743,9.278798,9.288357,25.127779,0.441786,7.5,40.96,40.91,19.7,21.36,21.36,101.57,120.2,120.9,-0.6,1105,4.158,10:54:14,3/16/24,-0.25,1,0.002,0.004,-9999,-0.011,-0.015,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.468836,2.506512,1.353372,0.848877,0.337225,0.019747,0.203123,1.076073,55.657269,0.000137,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
3,10:55:50,3/16/24,Eschscholzia californica,b,KS_1,"37.8525, -122.2892",Petals,Kevin Simonin,3,0.002653,2.53818,0.00265,0.059011,0.961547,0.959366,3.177518,2.215971,9.444928,9.466402,31.282555,0.441786,7.5,41.47,41.38,19.81,24.99,24.99,101.57,120.3,121.3,-0.8,2073,4.157,10:54:14,3/16/24,-0.25,1,0.001,0.001,-9999,-0.005,-0.016,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.469491,2.507271,1.353866,0.849626,0.335809,0.061047,0.205382,1.924429,55.269958,0.000139,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
4,10:56:28,3/16/24,Eschscholzia californica,t,KS_1,"37.8525, -122.2892",Petals,Kevin Simonin,4,0.005638,2.536587,0.005625,0.08747,0.970396,0.96716,2.522663,1.552267,9.521866,9.553727,24.836086,0.441786,7.5,41.42,41.28,19.97,21.17,21.17,101.57,120.1,121,-0.7,62,4.156,10:54:14,3/16/24,-0.25,1,0.001,0.002,-9999,-0.007,-0.011,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.469316,2.507156,1.35292,0.848918,0.33355,0.014456,0.208803,0.161789,54.754974,0.000135,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
5,10:56:46,3/16/24,Eschscholzia californica,t,KS_1,"37.8525, -122.2892",Petals,Kevin Simonin,5,0.014286,2.536092,0.014206,0.201675,0.974668,0.967204,2.392813,1.418145,9.521811,9.59529,23.556465,0.441786,7.5,41.41,41.09,20.05,20.32,20.32,101.58,120.1,121.2,-0.9,74,4.156,10:54:14,3/16/24,-0.25,1,-0.002,0,-9999,-0.008,-0.014,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.469018,2.507116,1.352626,0.84938,0.33252,0.003832,0.210415,0.172136,54.527878,0.00014,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
6,10:57:02,3/16/24,Eschscholzia californica,t,KS_1,"37.8525, -122.2892",Petals,Kevin Simonin,6,0.017601,2.539372,0.01748,0.26404,0.996286,0.986536,2.504304,1.508018,9.711411,9.80739,24.652237,0.441786,7.5,42.16,41.75,20.11,21.05,21.05,101.59,120.3,121.2,-0.7,84,4.156,10:54:14,3/16/24,-0.25,1,0.001,0.001,-9999,-0.003,-0.007,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.469959,2.508235,1.354575,0.849529,0.33168,0.011495,0.211687,0.180781,54.376961,0.000138,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
7,10:57:56,3/16/24,Eschscholzia californica,b,KS_2,"37.8525, -122.2892",Petals,Kevin Simonin,7,0.001614,2.5377,0.001613,0.026783,0.973683,0.972692,2.630947,1.657264,9.574451,9.5842,25.897062,0.441786,7.5,40.63,40.59,20.34,21.86,21.86,101.59,120.2,120.9,-0.6,1106,4.154,10:54:14,3/16/24,-0.25,1,-0.001,-0.001,-9999,-0.005,-0.007,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.468228,2.50588,1.353581,0.848835,0.32866,0.018097,0.216025,1.076806,53.875923,0.000137,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
8,10:58:48,3/16/24,Eschscholzia californica,b,KS_2,"37.8525, -122.2892",Petals,Kevin Simonin,8,0.001806,2.538083,0.001805,0.024079,0.955906,0.955015,2.290079,1.334173,9.396452,9.405215,22.532221,0.441786,7.5,39.51,39.47,20.49,19.61,19.61,101.64,120.2,120.8,-0.5,266,4.15,10:54:14,3/16/24,-0.25,1,0.002,0.003,-9999,-0.006,-0.011,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.466573,2.504155,1.353808,0.848646,0.326634,-0.009206,0.220004,0.34012,53.417801,0.000141,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
9,10:59:00,3/16/24,Eschscholzia californica,b,KS_2,"37.8525, -122.2892",Petals,Kevin Simonin,9,-0.000944,2.539054,-0.000944,-0.020171,0.962577,0.963323,3.090611,2.128034,9.4787,9.471363,30.410349,0.441786,7.5,39.74,39.77,20.51,24.52,24.52,101.63,120.3,121.1,-0.7,1793,4.153,10:54:14,3/16/24,-0.25,1,0.001,0.001,-9999,0.002,-0.002,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.467002,2.504499,1.354386,0.849295,0.326386,0.047236,0.220945,1.678841,53.333759,0.000136,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
10,10:59:18,3/16/24,Eschscholzia californica,t,KS_2,"37.8525, -122.2892",Petals,Kevin Simonin,10,0.002327,2.538192,0.002325,0.032772,0.979335,0.978123,2.388334,1.408999,9.624447,9.636371,23.500517,0.441786,7.5,40.35,40.3,20.55,20.28,20.28,101.63,120.3,121.1,-0.7,192,4.153,10:54:14,3/16/24,-0.25,1,-0.001,-0.001,-9999,-0.006,-0.006,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.467765,2.505413,1.353873,0.849261,0.325952,-0.002193,0.222257,0.275664,53.216816,0.000138,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2024-02-26T22:08:31.163Z
