"TOA5","CR6","CR6","9391","CR6.Std.08.00","CPU:5min_avg.CR6","15092","Temp1"
"TIMESTAMP","RECORD","PTemp_C_Avg","Temp_C_Avg(1)","Temp_C_Avg(2)","Temp_C_Avg(3)","Temp_C_Avg(4)","Temp_C_Avg(5)"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-05-27 13:30:00",0,22.07,21.62,21.45,21.05,20.88,21.22
"2022-05-27 13:35:00",1,22.08,21.57,21.49,21.13,20.97,21.3
"2022-05-27 13:40:00",2,22.07,21.58,21.52,21.17,21.01,21.29
"2022-05-27 13:45:00",3,22.06,21.53,21.55,21.21,21.04,21.28
"2022-05-27 13:50:00",4,22.05,21.54,21.55,21.23,21.05,21.29
"2022-05-27 13:55:00",5,22.05,21.57,21.54,21.25,21.05,21.32
"2022-05-27 14:00:00",6,22.05,21.56,21.54,21.26,21.07,21.31
"2022-05-27 14:05:00",7,22.06,21.61,21.67,21.45,21.16,21.31
"2022-05-27 14:10:00",8,22.14,21.01,21.29,20.51,21.12,21.19
"2022-05-27 14:15:00",9,22.1,20.86,21.03,20.43,20.68,20.89
"2022-05-27 14:20:00",10,21.99,20.82,20.82,20.47,20.57,20.67
"2022-05-27 14:25:00",11,21.87,20.73,20.71,20.44,20.48,20.55
"2022-05-27 14:30:00",12,21.77,20.72,20.65,20.46,20.46,20.47
"2022-05-27 14:35:00",13,21.69,20.74,20.62,20.41,20.4,20.42
"2022-05-27 14:40:00",14,21.62,20.7,20.59,20.39,20.37,20.39
"2022-05-27 14:45:00",15,21.57,20.71,20.58,20.36,20.35,20.37
"2022-05-27 14:50:00",16,21.53,20.72,20.57,20.42,20.35,20.35
"2022-05-27 14:55:00",17,21.49,20.71,20.56,20.4,20.35,20.34
"2022-05-27 15:00:00",18,21.46,20.71,20.56,20.41,20.34,20.33
"2022-05-27 15:05:00",19,21.44,20.71,20.55,20.42,20.35,20.32
"2022-05-27 15:10:00",20,21.43,20.72,20.56,20.4,20.36,20.32
"2022-05-27 15:40:00",21,24.5,19.67,19.99,25.28,21.99,21.14
"2022-05-27 15:45:00",22,26.14,20.33,20.75,25.65,21.99,20.97
"2022-05-27 15:50:00",23,28.02,22.67,22.24,26.36,21.34,21.39
"2022-05-27 15:55:00",24,27.48,22.27,21.89,26.89,21.04,21.2
"2022-05-27 16:00:00",25,26.56,21.67,21.48,26.46,20.64,20.81
"2022-05-27 16:05:00",26,25.73,21.54,21,26.28,20.28,20.31
"2022-05-27 16:10:00",27,25.16,19.9,19.88,25.94,20.08,20.11
"2022-05-27 16:15:00",28,24.77,19.56,19.58,25.71,19.72,19.76
"2022-05-27 16:20:00",29,24.48,19.51,19.49,25.41,19.63,19.63
"2022-05-27 16:25:00",30,24.22,19.1,19.16,25.27,19.45,19.51
"2022-05-27 16:30:00",31,23.99,19.32,19.31,25.08,19.43,19.43
"2022-05-27 16:35:00",32,23.74,19.16,19.12,25.04,19.13,19.18
"2022-05-27 16:40:00",33,23.58,18.63,18.66,24.75,18.88,18.91
"2022-05-27 16:45:00",34,23.43,18.25,18.19,24.43,18.68,18.78
"2022-05-27 16:50:00",35,23.21,18.3,18.17,24.46,18.52,18.66
"2022-05-27 16:55:00",36,23.05,18.42,18.41,24.1,18.8,18.9
"2022-05-27 17:00:00",37,22.96,18.4,18.33,24.02,18.63,18.72
"2022-05-27 17:05:00",38,22.8,17.96,17.89,23.78,18.27,18.34
"2022-05-27 17:10:00",39,22.87,17.69,17.58,23.54,17.9,18
"2022-05-27 17:15:00",40,23.26,17.21,17.07,23.28,17.68,17.87
"2022-05-27 17:20:00",41,23.5,17.23,17.11,23.16,17.83,17.94
"2022-05-27 17:25:00",42,23.18,17.43,17.33,23.36,17.74,17.78
"2022-05-27 17:30:00",43,22.72,17.24,17.14,23.37,17.37,17.38
"2022-05-27 17:35:00",44,22.25,16.81,16.66,23.1,16.79,16.8
"2022-05-27 17:40:00",45,21.76,16.79,16.6,23.01,16.83,16.84
"2022-05-27 17:45:00",46,21.3,16.48,16.38,22.56,16.6,16.59
"2022-05-27 17:50:00",47,20.92,16.8,16.62,22.86,16.73,16.73
"2022-05-27 17:55:00",48,20.67,16.75,16.68,22.44,16.82,16.72
"2022-05-27 18:00:00",49,20.45,16.19,16.1,22.07,16.19,16.1
"2022-05-27 18:05:00",50,20.16,16.21,16.07,22.06,16.19,16.18
"2022-05-27 18:10:00",51,20.04,15.99,15.93,21.96,16.12,16.05
"2022-05-27 18:15:00",52,19.96,15.73,15.68,21.97,16.15,16.25
"2022-05-27 18:20:00",53,19.85,15.47,15.49,21.6,15.95,16.02
"2022-05-27 18:25:00",54,19.65,15.59,15.5,21.74,15.83,15.86
"2022-05-27 18:30:00",55,19.74,15.38,15.41,21.27,15.76,15.71
"2022-05-27 18:35:00",56,20.07,14.87,14.96,21.15,15.25,15.32
"2022-05-27 18:40:00",57,20.51,14.91,15.06,21.26,15.19,15.28
"2022-05-27 18:45:00",58,20.73,14.99,15.1,21.31,15.31,15.26
"2022-05-27 18:50:00",59,20.93,14.8,14.83,21.31,15.29,15.09
"2022-05-27 18:55:00",60,20.98,14.83,14.96,21.39,15.14,14.89
"2022-05-27 19:00:00",61,20.95,14.72,14.81,21.33,15.15,14.81
"2022-05-27 19:05:00",62,21.11,14.57,14.87,21.33,15,14.64
"2022-05-27 19:10:00",63,21.67,14.41,14.62,21.3,14.98,14.51
"2022-05-27 19:15:00",64,21.68,14.22,14.25,21.13,14.39,14.11
"2022-05-27 19:20:00",65,21.13,14.22,14.19,20.95,14.12,14.03
"2022-05-27 19:25:00",66,20.55,14.11,13.99,20.93,13.94,13.9
