TIMESTAMP,RECORD,PTemp_C,Temp_C(1),Temp_C(2),Difference ,,,"Plant 1 is the control, plant 2 has a wire holding it hopen."
12:20:00 PM,0,26.71,23.85,25.53,1.68,open,,
12:30:00 PM,1,25.94,23.53,24.94,1.41,open,,
12:40:00 PM,2,25.66,26.43,28.2,1.77,open,,
12:50:00 PM,3,25.83,27.22,29.15,1.93,open,,
1:00:00 PM,4,26.12,25.57,26.99,1.42,open,,
1:10:00 PM,5,26.17,25.93,27.34,1.41,open,,
1:20:00 PM,6,26.42,28.69,29.67,0.98,open,,
1:30:00 PM,7,26.89,27.44,28.54,1.1,open,,
1:40:00 PM,8,27.56,29.95,30.08,0.13,open,,
1:50:00 PM,9,27.83,27.6,27.78,0.18,open,,
2:00:00 PM,10,27.75,28.12,28.53,0.41,open,,
2:10:00 PM,11,27.91,29.36,29.71,0.35,open,,
2:20:00 PM,12,28.14,27.68,28.89,1.21,open,,
2:30:00 PM,13,28.19,28.81,30.07,1.26,open,,
2:40:00 PM,14,28.31,27.55,29.43,1.88,open,flower 1 has shade in bowl,
2:50:00 PM,15,28.34,28.56,30.97,2.41,open,flower 1 has shade in bowl,
3:00:00 PM,16,28.53,27.96,30,2.04,open,flower 1 has shade in bowl,
3:10:00 PM,17,29.2,27.3,30.16,2.86,open,flower 1 has shade in bowl,
3:20:00 PM,18,35.31,21.8,27.72,5.92,open,flower 1 has shade in bowl,
3:30:00 PM,19,41.41,23.87,28.75,4.88,open,flower 1 has shade in bowl,
3:40:00 PM,20,44.82,26.13,31.56,5.43,open,,
3:50:00 PM,21,47.43,27.11,32.5,5.39,open,,
4:00:00 PM,22,47.47,30.55,31.72,1.17,open,,
4:10:00 PM,23,45.06,33.89,32.04,-1.85,open,,
4:20:00 PM,24,40.92,32.6,31.03,-1.57,open,,
4:30:00 PM,25,35.77,29.25,28.55,-0.7,open,,
4:40:00 PM,26,32.48,28.07,27.79,-0.28,open,,
4:50:00 PM,27,30.71,26.88,26.96,0.08,open,,
5:00:00 PM,28,29.47,26.43,26.71,0.28,open,,
5:10:00 PM,29,28.55,26.42,26.45,0.03,open,,
5:20:00 PM,30,27.86,25.79,25.64,-0.15,open,,
5:30:00 PM,31,27.86,25.49,25.44,-0.05,open,,
5:40:00 PM,32,27.89,24.84,24.73,-0.11,open,,
5:50:00 PM,33,27.01,23.29,23.11,-0.18,open,,
6:00:00 PM,34,25.77,22.78,22.6,-0.18,open,,
6:10:00 PM,35,24.69,22.33,22.16,-0.17,open,,
6:20:00 PM,36,24.26,21.69,21.56,-0.13,closed,,
6:30:00 PM,37,24.12,21.34,21.4,0.06,closed,,
6:40:00 PM,38,23.91,21.21,21.51,0.3,closed,,
6:50:00 PM,39,23.7,21.7,21.64,-0.06,closed,,
7:00:00 PM,40,23.39,21.68,21.76,0.08,closed,,
7:10:00 PM,41,22.73,21.3,21.75,0.45,closed,,
7:20:00 PM,42,22.45,21.01,21.39,0.38,closed,,
7:30:00 PM,43,22.16,21.01,20.98,-0.03,closed,,
7:40:00 PM,44,21.91,20.4,20.99,0.59,closed,,
7:50:00 PM,45,21.51,20.03,20.09,0.06,closed,,
8:00:00 PM,46,20.71,19.28,19.17,-0.11,closed,,
8:10:00 PM,47,19.99,18.59,18.52,-0.07,closed,,
8:20:00 PM,48,19.54,17.88,17.83,-0.05,closed,,
8:30:00 PM,49,19.19,17.73,17.66,-0.07,closed,,
8:40:00 PM,50,18.91,17.06,16.87,-0.19,closed,,
8:50:00 PM,51,18.65,17.12,17,-0.12,closed,,
9:00:00 PM,52,18.35,16.41,16.22,-0.19,closed,,
9:10:00 PM,53,18.03,16.67,16.56,-0.11,closed,,
9:20:00 PM,54,17.64,16.52,16.43,-0.09,closed,,
9:30:00 PM,55,17.41,15.8,15.67,-0.13,closed,,
9:40:00 PM,56,17.41,15.82,15.68,-0.14,closed,,
9:50:00 PM,57,17.01,15.68,15.58,-0.1,closed,,
10:00:00 PM,58,16.9,15.65,15.51,-0.14,closed,,
10:10:00 PM,59,16.66,15.38,15.22,-0.16,closed,,
10:20:00 PM,60,16.52,15.12,14.95,-0.17,closed,,
10:30:00 PM,61,16.55,14.35,14.1,-0.25,closed,,
10:40:00 PM,62,16.56,14.51,14.18,-0.33,closed,,
10:50:00 PM,63,16.42,14.15,13.92,-0.23,closed,,
11:00:00 PM,64,16.32,13.94,13.73,-0.21,closed,,
11:10:00 PM,65,16.16,14.63,14.37,-0.26,closed,,
11:20:00 PM,66,15.84,14.53,14.31,-0.22,closed,,
11:30:00 PM,67,15.64,14.22,13.99,-0.23,closed,,
11:40:00 PM,68,15.24,14.11,13.81,-0.3,closed,,
11:50:00 PM,69,14.84,13.69,13.43,-0.26,closed,,
12:00:00 AM,70,14.45,13.48,13.25,-0.23,closed,,
12:10:00 AM,71,14.38,13.31,13.11,-0.2,closed,,
12:20:00 AM,72,14.19,13.25,13,-0.25,closed,,
12:30:00 AM,73,13.99,12.92,12.69,-0.23,closed,,
12:40:00 AM,74,13.81,12.93,12.72,-0.21,closed,,
12:50:00 AM,75,13.65,12.69,12.52,-0.17,closed,,
1:00:00 AM,76,13.53,12.42,12.26,-0.16,closed,,
1:10:00 AM,77,13.53,12.33,12.1,-0.23,closed,,
1:20:00 AM,78,13.34,12.23,12.05,-0.18,closed,,
1:30:00 AM,79,13.33,12.16,11.98,-0.18,closed,,
1:40:00 AM,80,13.24,12.12,11.98,-0.14,closed,,
1:50:00 AM,81,13.27,12.32,12.15,-0.17,closed,,
2:00:00 AM,82,13.28,12.12,11.88,-0.24,closed,,
2:10:00 AM,83,13.05,12.08,11.85,-0.23,closed,,
2:20:00 AM,84,12.85,11.84,11.68,-0.16,closed,,
2:30:00 AM,85,12.9,12.02,11.83,-0.19,closed,,
2:40:00 AM,86,12.83,11.74,11.6,-0.14,closed,,
2:50:00 AM,87,12.85,12.01,11.82,-0.19,closed,,
3:00:00 AM,88,12.78,11.99,11.83,-0.16,closed,,
3:10:00 AM,89,12.62,11.96,11.76,-0.2,closed,,
3:20:00 AM,90,12.47,11.77,11.62,-0.15,closed,,
3:30:00 AM,91,12.46,11.51,11.37,-0.14,closed,,
3:40:00 AM,92,12.4,11.78,11.6,-0.18,closed,,
3:50:00 AM,93,12.34,11.7,11.53,-0.17,closed,,
4:00:00 AM,94,12.4,11.77,11.62,-0.15,closed,,
4:10:00 AM,95,12.46,11.73,11.56,-0.17,closed,,
4:20:00 AM,96,12.39,11.59,11.45,-0.14,closed,,
4:30:00 AM,97,12.47,11.75,11.6,-0.15,closed,,
4:40:00 AM,98,12.53,11.85,11.69,-0.16,closed,,
4:50:00 AM,99,12.47,11.73,11.55,-0.18,closed,,
5:00:00 AM,100,12.55,11.97,11.83,-0.14,closed,,
5:10:00 AM,101,12.69,11.63,11.49,-0.14,closed,,
5:20:00 AM,102,12.69,11.14,10.98,-0.16,closed,,
5:30:00 AM,103,12.67,10.9,10.69,-0.21,closed,,
5:40:00 AM,104,12.57,10.64,10.46,-0.18,closed,,
5:50:00 AM,105,12.47,11.27,11.13,-0.14,closed,,
6:00:00 AM,106,12.41,11,10.83,-0.17,closed,,
6:10:00 AM,107,12.46,11.01,10.85,-0.16,closed,,
6:20:00 AM,108,12.49,11.13,11,-0.13,closed,,
6:30:00 AM,109,12.58,10.85,10.69,-0.16,closed,,
6:40:00 AM,110,12.67,11.27,11.14,-0.13,closed,,
6:50:00 AM,111,12.77,11.58,11.5,-0.08,closed,,
7:00:00 AM,112,12.86,12.32,12.19,-0.13,closed,,
7:10:00 AM,113,13.01,12.14,11.94,-0.2,closed,,
7:20:00 AM,114,13.09,12.32,12.15,-0.17,closed,,
7:30:00 AM,115,13.26,12.5,12.33,-0.17,closed,,
7:40:00 AM,116,13.47,12.98,12.87,-0.11,closed,,
7:50:00 AM,117,13.72,13.25,13.2,-0.05,closed,,
8:00:00 AM,118,14.35,13.51,13.36,-0.15,closed,,
8:10:00 AM,119,14.97,14.39,14.1,-0.29,closed,,
8:20:00 AM,120,15.4,14.53,14.4,-0.13,closed,,
