TIMESTAMP,RECORD,PTemp_C,Temp_C(1),Temp_C(2)
1:30:00 PM,0,22.07,21.62,21.45
1:35:00 PM,1,22.08,21.57,21.49
1:40:00 PM,2,22.07,21.58,21.52
1:45:00 PM,3,22.06,21.53,21.55
1:50:00 PM,4,22.05,21.54,21.55
1:55:00 PM,5,22.05,21.57,21.54
2:00:00 PM,6,22.05,21.56,21.54
2:05:00 PM,7,22.06,21.61,21.67
2:10:00 PM,8,22.14,21.01,21.29
2:15:00 PM,9,22.1,20.86,21.03
2:20:00 PM,10,21.99,20.82,20.82
2:25:00 PM,11,21.87,20.73,20.71
2:30:00 PM,12,21.77,20.72,20.65
2:35:00 PM,13,21.69,20.74,20.62
2:40:00 PM,14,21.62,20.7,20.59
2:45:00 PM,15,21.57,20.71,20.58
