TIMESTAMP,RECORD,PTemp_C,Temp_C(1),Temp_C(2)
5/22/22 12:20,0,26.71,23.85,25.53
5/22/22 12:30,1,25.94,23.53,24.94
5/22/22 12:40,2,25.66,26.43,28.2
5/22/22 12:50,3,25.83,27.22,29.15
5/22/22 13:00,4,26.12,25.57,26.99
5/22/22 13:10,5,26.17,25.93,27.34
5/22/22 13:20,6,26.42,28.69,29.67
5/22/22 13:30,7,26.89,27.44,28.54
5/22/22 13:40,8,27.56,29.95,30.08
5/22/22 13:50,9,27.83,27.6,27.78
5/22/22 14:00,10,27.75,28.12,28.53
5/22/22 14:10,11,27.91,29.36,29.71
5/22/22 14:20,12,28.14,27.68,28.89
5/22/22 14:30,13,28.19,28.81,30.07
5/22/22 14:40,14,28.31,27.55,29.43
5/22/22 14:50,15,28.34,28.56,30.97
5/22/22 15:00,16,28.53,27.96,30
5/22/22 15:10,17,29.2,27.3,30.16
5/22/22 15:20,18,35.31,21.8,27.72
5/22/22 15:30,19,41.41,23.87,28.75
5/22/22 15:40,20,44.82,26.13,31.56
5/22/22 15:50,21,47.43,27.11,32.5
5/22/22 16:00,22,47.47,30.55,31.72
5/22/22 16:10,23,45.06,33.89,32.04
5/22/22 16:20,24,40.92,32.6,31.03
5/22/22 16:30,25,35.77,29.25,28.55
5/22/22 16:40,26,32.48,28.07,27.79
5/22/22 16:50,27,30.71,26.88,26.96
5/22/22 17:00,28,29.47,26.43,26.71
5/22/22 17:10,29,28.55,26.42,26.45
5/22/22 17:20,30,27.86,25.79,25.64
5/22/22 17:30,31,27.86,25.49,25.44
5/22/22 17:40,32,27.89,24.84,24.73
5/22/22 17:50,33,27.01,23.29,23.11
5/22/22 18:00,34,25.77,22.78,22.6
5/22/22 18:10,35,24.69,22.33,22.16
5/22/22 18:20,36,24.26,21.69,21.56
5/22/22 18:30,37,24.12,21.34,21.4
5/22/22 18:40,38,23.91,21.21,21.51
5/22/22 18:50,39,23.7,21.7,21.64
5/22/22 19:00,40,23.39,21.68,21.76
5/22/22 19:10,41,22.73,21.3,21.75
5/22/22 19:20,42,22.45,21.01,21.39
5/22/22 19:30,43,22.16,21.01,20.98
5/22/22 19:40,44,21.91,20.4,20.99
5/22/22 19:50,45,21.51,20.03,20.09
5/22/22 20:00,46,20.71,19.28,19.17
5/22/22 20:10,47,19.99,18.59,18.52
5/22/22 20:20,48,19.54,17.88,17.83
5/22/22 20:30,49,19.19,17.73,17.66
5/22/22 20:40,50,18.91,17.06,16.87
5/22/22 20:50,51,18.65,17.12,17
5/22/22 21:00,52,18.35,16.41,16.22
5/22/22 21:10,53,18.03,16.67,16.56
5/22/22 21:20,54,17.64,16.52,16.43
5/22/22 21:30,55,17.41,15.8,15.67
5/22/22 21:40,56,17.41,15.82,15.68
5/22/22 21:50,57,17.01,15.68,15.58
5/22/22 22:00,58,16.9,15.65,15.51
5/22/22 22:10,59,16.66,15.38,15.22
5/22/22 22:20,60,16.52,15.12,14.95
5/22/22 22:30,61,16.55,14.35,14.1
5/22/22 22:40,62,16.56,14.51,14.18
5/22/22 22:50,63,16.42,14.15,13.92
5/22/22 23:00,64,16.32,13.94,13.73
5/22/22 23:10,65,16.16,14.63,14.37
5/22/22 23:20,66,15.84,14.53,14.31
5/22/22 23:30,67,15.64,14.22,13.99
5/22/22 23:40,68,15.24,14.11,13.81
5/22/22 23:50,69,14.84,13.69,13.43
5/23/22 0:00,70,14.45,13.48,13.25
5/23/22 0:10,71,14.38,13.31,13.11
5/23/22 0:20,72,14.19,13.25,13
5/23/22 0:30,73,13.99,12.92,12.69
5/23/22 0:40,74,13.81,12.93,12.72
5/23/22 0:50,75,13.65,12.69,12.52
5/23/22 1:00,76,13.53,12.42,12.26
5/23/22 1:10,77,13.53,12.33,12.1
5/23/22 1:20,78,13.34,12.23,12.05
5/23/22 1:30,79,13.33,12.16,11.98
5/23/22 1:40,80,13.24,12.12,11.98
5/23/22 1:50,81,13.27,12.32,12.15
5/23/22 2:00,82,13.28,12.12,11.88
5/23/22 2:10,83,13.05,12.08,11.85
5/23/22 2:20,84,12.85,11.84,11.68
5/23/22 2:30,85,12.9,12.02,11.83
5/23/22 2:40,86,12.83,11.74,11.6
5/23/22 2:50,87,12.85,12.01,11.82
5/23/22 3:00,88,12.78,11.99,11.83
5/23/22 3:10,89,12.62,11.96,11.76
5/23/22 3:20,90,12.47,11.77,11.62
5/23/22 3:30,91,12.46,11.51,11.37
5/23/22 3:40,92,12.4,11.78,11.6
5/23/22 3:50,93,12.34,11.7,11.53
5/23/22 4:00,94,12.4,11.77,11.62
5/23/22 4:10,95,12.46,11.73,11.56
5/23/22 4:20,96,12.39,11.59,11.45
5/23/22 4:30,97,12.47,11.75,11.6
5/23/22 4:40,98,12.53,11.85,11.69
5/23/22 4:50,99,12.47,11.73,11.55
5/23/22 5:00,100,12.55,11.97,11.83
5/23/22 5:10,101,12.69,11.63,11.49
5/23/22 5:20,102,12.69,11.14,10.98
5/23/22 5:30,103,12.67,10.9,10.69
5/23/22 5:40,104,12.57,10.64,10.46
5/23/22 5:50,105,12.47,11.27,11.13
5/23/22 6:00,106,12.41,11,10.83
5/23/22 6:10,107,12.46,11.01,10.85
5/23/22 6:20,108,12.49,11.13,11
5/23/22 6:30,109,12.58,10.85,10.69
5/23/22 6:40,110,12.67,11.27,11.14
