Date,Population,Plant,wet_wgt
,,,
2025-03-26,Percos,1,0.15917
2025-03-26,Percos,2,0.1101
2025-03-26,Percos,3,0.20482
2025-03-26,Percos,4,0.17572
2025-03-26,Percos,5,0.18694
2025-03-26,Percos,6,0.16784
2025-03-26,Percos,7,0.12294
2025-03-26,Percos,8,0.15427
2025-03-26,Percos,9,0.10899
2025-03-26,Percos,10,0.18375
2025-03-26,Percos,11,0.2005
2025-03-26,Percos,12,0.24551
2025-03-26,Percos,13,0.18895
2025-03-26,Percos,14,0.13604
2025-03-26,Percos,15,0.11903
3/28/25,Perry,1,0.05446
3/28/25,Perry,2,0.06534
3/28/25,Perry,3,0.06968
3/28/25,Perry,4,0.0644
3/28/25,Perry,5,0.08351
3/28/25,Perry,6,0.07823
3/28/25,Perry,7,0.12505
3/28/25,Perry,8,0.10689
3/28/25,Perry,9,0.14451
3/28/25,Perry,10,0.08203
3/28/25,Perry,11,0.07482
3/28/25,Perry,12,0.08412
3/28/25,Perry,13,0.0316
3/28/25,Perry,14,0.0383
3/28/25,Perry,15,0.05863
3/28/25,Pt. Conception,1,0.07461
3/28/25,Pt. Conception,2,0.03685
3/28/25,Pt. Conception,3,0.10612
3/28/25,Pt. Conception,4,0.07005
3/28/25,Pt. Conception,5,0.06252
3/28/25,Pt. Conception,6,0.05961
3/28/25,Pt. Conception,7,0.0629
3/28/25,Pt. Conception,8,0.05087
3/28/25,Pt. Conception,9,0.07414
3/28/25,Pt. Conception,10,0.04424
3/28/25,Pt. Conception,11,0.13057
3/28/25,Pt. Conception,12,0.08963
3/28/25,Pt. Conception,13,0.11824
3/28/25,Pt. Conception,14,0.05704
3/28/25,Pt. Conception,15,0.10456
4/17/25,CojoHQ,1,0.02834
4/17/25,CojoHQ,2,0.03259
4/17/25,CojoHQ,3,0.03913
4/17/25,CojoHQ,4,0.07418
4/17/25,CojoHQ,5,0.04567
4/17/25,CojoHQ,6,0.10503
4/17/25,CojoHQ,7,0.07479
4/17/25,CojoHQ,8,0.07407
4/17/25,CojoHQ,9,0.10575
4/17/25,CojoHQ,10,0.04248
4/17/25,CojoHQ,11,0.02222
4/17/25,CojoHQ,12,0.06904
4/17/25,CojoHQ,13,0.0613
4/17/25,CojoHQ,14,0.07771
4/17/25,CojoHQ,15,0.05315
