date,block,population,plant,wet_wgt,petal_flower,length,area,dry_wgt,water_mg,water_%,
2025-03-26,1,Percos,1,0.15917,petal,4,9.957,0.0176,0.14157,89%,
2025-03-26,1,Percos,2,0.1101,petal,3.6,13.921,0.01117,0.09893,90%,
2025-03-26,1,Percos,3,0.20482,petal,5,13.527,0.02123,0.18359,90%,
2025-03-26,1,Percos,4,0.17572,petal,4.1,,0.01782,0.1579,90%,
2025-03-26,1,Percos,5,0.18694,petal,4.6,,0.01998,0.16696,89%,
2025-03-26,1,Percos,6,0.16784,petal,3.2,,0.01825,0.14959,89%,
2025-03-26,1,Percos,7,0.12294,petal,4.5,,0.01458,0.10836,88%,
2025-03-26,1,Percos,8,0.15427,petal,4,,0.0162,0.13807,89%,
2025-03-26,1,Percos,9,0.10899,petal,4,,0.01144,0.09755,90%,
2025-03-26,1,Percos,10,0.18375,petal,4,,0.0184,0.16535,90%,
2025-03-26,1,Percos,11,0.2005,petal,4.5,,0.02271,0.17779,89%,
2025-03-26,1,Percos,12,0.24551,petal,5.8,,0.0262,0.21931,89%,
2025-03-26,1,Percos,13,0.18895,petal,3.9,,0.01928,0.16967,90%,
2025-03-26,1,Percos,14,0.13604,petal,3.9,,0.01483,0.12121,89%,
2025-03-26,1,Percos,15,0.11903,petal,3.5,,0.014,0.10503,88%,
3/28/25,1,Perry,1,0.05446,petal,,,0.00623,0.04823,89%,
3/28/25,1,Perry,2,0.06534,petal,,,0.00809,0.05725,88%,
3/28/25,1,Perry,3,0.06968,petal,,,0.01202,0.05766,83%,
3/28/25,1,Perry,4,0.0644,petal,,,0.00956,0.05484,85%,
3/28/25,1,Perry,5,0.08351,petal,,,0.0083,0.07521,90%,
3/28/25,1,Perry,6,0.07823,petal,,,0.00951,0.06872,88%,
3/28/25,1,Perry,7,0.12505,petal,,,0.01266,0.11239,90%,
3/28/25,1,Perry,8,0.10689,petal,,,0.00586,0.10103,95%,
3/28/25,1,Perry,9,0.14451,petal,,,0.01347,0.13104,91%,
3/28/25,1,Perry,10,0.08203,petal,,,0.00987,0.07216,88%,
3/28/25,1,Perry,11,0.07482,petal,,,0.00794,0.06688,89%,
3/28/25,1,Perry,12,0.08412,petal,,,0.00858,0.07554,90%,
3/28/25,1,Perry,13,0.0316,petal,,,0.00302,0.02858,90%,
3/28/25,1,Perry,14,0.0383,petal,,,0.00445,0.03385,88%,
3/28/25,1,Perry,15,0.05863,petal,,,0.00906,0.04957,85%,
3/28/25,1,Pt. Conception,1,0.07461,petal,,,0.00933,0.06528,87%,
3/28/25,1,Pt. Conception,2,0.03685,petal,,,0.00462,0.03223,87%,
3/28/25,1,Pt. Conception,3,0.10612,petal,,,0.01186,0.09426,89%,
3/28/25,1,Pt. Conception,4,0.07005,petal,,,0.00666,0.06339,90%,
3/28/25,1,Pt. Conception,5,0.06252,petal,,,0.00791,0.05461,87%,
3/28/25,1,Pt. Conception,6,0.05961,petal,,,0.00714,0.05247,88%,
3/28/25,1,Pt. Conception,7,0.0629,petal,,,0.00654,0.05636,90%,
3/28/25,1,Pt. Conception,8,0.05087,petal,,,0.00626,0.04461,88%,
3/28/25,1,Pt. Conception,9,0.07414,petal,,,0.00904,0.0651,88%,
3/28/25,1,Pt. Conception,10,0.04424,petal,,,0.00654,0.0377,85%,
3/28/25,1,Pt. Conception,11,0.13057,petal,,,0.01484,0.11573,89%,
3/28/25,1,Pt. Conception,12,0.08963,petal,,,0.01065,0.07898,88%,
3/28/25,1,Pt. Conception,13,0.11824,petal,,,0.01371,0.10453,88%,
3/28/25,1,Pt. Conception,14,0.05704,petal,,,0.00674,0.0503,88%,
3/28/25,1,Pt. Conception,15,0.10456,petal,,,0.01283,0.09173,88%,
4/17/25,1,Cojo,1,0.02834,petal,,,0.0002,0.02814,99%,
4/17/25,1,Cojo,2,0.03259,petal,,,0.00451,0.02808,86%,
4/17/25,1,Cojo,3,0.03913,petal,,,0.00455,0.03458,88%,
4/17/25,1,Cojo,4,0.07418,petal,,,0.00969,0.06449,87%,
4/17/25,1,Cojo,5,0.04567,petal,,,0.0053,0.04037,88%,
4/17/25,1,Cojo,6,0.10503,petal,,,0.00981,0.09522,91%,
4/17/25,1,Cojo,7,0.07479,petal,,,0.00829,0.0665,89%,
4/17/25,1,Cojo,8,0.07407,petal,,,0.0069,0.06717,91%,
4/17/25,1,Cojo,9,0.10575,petal,,,0.01175,0.094,89%,
4/17/25,1,Cojo,10,0.04248,petal,,,0.00579,0.03669,86%,
4/17/25,1,Cojo,11,0.02222,petal,,,0.00247,0.01975,89%,
4/17/25,1,Cojo,12,0.06904,petal,,,0.0098,0.05924,86%,
4/17/25,1,Cojo,13,0.0613,petal,,,0.00853,0.05277,86%,
4/17/25,1,Cojo,14,0.07771,petal,,,0.00813,0.06958,90%,
4/17/25,1,Cojo,15,0.05315,petal,,,0.00618,0.04697,88%,
5/20/25,1,Perry,15,0.01784,petal ,,,0.00221,0.01563,88%,
5/20/25,2,Perry,15,0.02195,petal 2,,,0.00565,0.0163,74%,probably an error here
5/20/25,2,Perry,15,0.02179,petal 3,,,0.00237,0.01942,89%,
5/20/25,2,Perry,15,0.01907,petal 4,,,0.00274,0.01633,86%,
5/20/25,2,Perry,2,0.01494,petal,,,0.00236,0.01258,84%,
5/20/25,2,Perry,2,0.01559,petal 2,,,,,,
5/20/25,2,Perry,2,0.01404,petal 3,,,,,,
5/20/25,2,Perry,2,0.01332,petal 4,,,,,,
5/20/25,2,Perry,3,0.01352,petal,,,0.00168,0.01184,88%,
5/20/25,2,Perry,4,0.02443,petal,,,0.00284,0.02159,88%,
5/20/25,2,Perry,5,0.02024,petal,,,0.00335,0.01689,83%,
5/20/25,2,Perry,6,0.03581,petal,,,0.00489,0.03092,86%,
5/20/25,2,Perry,7,0.03063,petal,,,0.00444,0.02619,86%,
5/20/25,2,Perry,8,0.01987,petal,,,0.0032,0.01667,84%,
5/20/25,2,Perry,9,0.03275,petal,,,0.00435,0.0284,87%,
5/20/25,2,Perry,10,0.02703,petal,,,0.00402,0.02301,85%,
5/20/25,2,Perry,11,0.03718,petal,,,0.00453,0.03265,88%,
5/20/25,2,Perry,12,0.0159,petal,,,0.00264,0.01326,83%,
5/20/25,2,Perry,13,0.00875,petal,,,0.0014,0.00735,84%,
5/20/25,2,Perry,14,0.02304,petal,,,0.00251,0.02053,89%,
5/22/25,2,Cojo,1,0.01722,petal,,,0.00227,0.01495,87%,
5/22/25,2,Cojo,2,0.0244,petal,,,0.00275,0.02165,89%,
5/22/25,2,Cojo,3,0.03316,petal,,,0.00489,0.02827,85%,
5/22/25,2,Cojo,4,0.0179,petal,,,0.00256,0.01534,86%,
5/22/25,2,Cojo,5,0.03623,petal,,,0.00508,0.03115,86%,
5/22/25,2,Cojo,6,0.01882,petal,,,0.00211,0.01671,89%,
5/22/25,2,Cojo,7,0.03186,petal,,,0.0044,0.02746,86%,
5/22/25,2,Cojo,8,0.02037,petal,,,0.0028,0.01757,86%,
5/22/25,2,Cojo,9,0.03467,petal,,,0.00517,0.0295,85%,
5/22/25,2,Cojo,10,0.01145,petal,,,0.00207,0.00938,82%,
5/22/25,2,Cojo,11,0.02061,petal,,,0.00272,0.01789,87%,
5/22/25,2,Cojo,12,0.02316,petal,,,0.00241,0.02075,90%,
5/22/25,2,Cojo,13,0.03495,petal,,,0.00409,0.03086,88%,
