Date,Population,Individual,Leaves,Flowers,Buds,Fruit,leaf_length,flower_length,fruit_length,torus_height,Total_flowers
18-Mar-25,Pt_Conception,1,8,0,2,1,60.1,,5.1,,0
18-Mar-25,Pt_Conception,2,18,0,0,0,116.4,35.1,,,
18-Mar-25,Pt_Conception,3,14,2,1,1,168.9,28,36.5,,
18-Mar-25,Pt_Conception,4,8,1,1,0,93.2,29.7,,,
18-Mar-25,Pt_Conception,5,15,1,0,0,54.1,32.7,,,
18-Mar-25,Pt_Conception,6,8,1,0,0,46.6,26,,,
18-Mar-25,Pt_Conception,7,17,1,0,1,76.8,25.4,,,
18-Mar-25,Pt_Conception,8,53,2,1,0,170,27.9,38.1,,
18-Mar-25,Pt_Conception,9,4,1,2,0,86.2,24.6,,,
18-Mar-25,Pt_Conception,10,28,2,1,0,192.6,31.8,,,
18-Mar-25,Pt_Conception,11,20,0,2,0,136.3,,47.4,,
18-Mar-25,Pt_Conception,12,14,0,0,0,99.3,,,,
18-Mar-25,Pt_Conception,13,7,0,0,0,50.8,,,,
18-Mar-25,Pt_Conception,14,11,0,0,0,43.2,,,,
18-Mar-25,Pt_Conception,15,20,0,0,0,55.4,,,,
18-Mar-25,CojoHQ,1,12,0,1,0,41.3,,,,
18-Mar-25,CojoHQ,2,37,1,3,0,129,32.8,,,
18-Mar-25,CojoHQ,3,22,0,2,0,99.9,,,,
18-Mar-25,CojoHQ,4,11,0,0,0,75.8,,,,
18-Mar-25,CojoHQ,5,10,0,1,1,44.5,,47.7,,
18-Mar-25,CojoHQ,6,32,0,1,0,78.4,,,,
18-Mar-25,CojoHQ,7,38,0,4,0,203.6,45.7,,,
18-Mar-25,CojoHQ,8,11,0,1,0,100.3,,,,
18-Mar-25,CojoHQ,9,49,1,6,0,180.6,44,,,
18-Mar-25,CojoHQ,10,34,1,5,0,102.8,32.9,,,
18-Mar-25,CojoHQ,11,26,1,2,2,88.2,32.7,62.6,,
18-Mar-25,CojoHQ,12,52,1,6,0,174.8,56.8,,,
18-Mar-25,CojoHQ,13,7,1,0,1,32.3,27.9,33.2,,
18-Mar-25,CojoHQ,14,10,0,1,0,85.5,,,,
18-Mar-25,CojoHQ,15,13,1,1,0,58.1,23.7,,,
25-Mar-25,Perry,1,,1,2,3,8,,,8.4,
25-Mar-25,Perry,2,,2,2,1,7.4,,,5.2,
25-Mar-25,Perry,3,,1,0,1,11,,,9,
25-Mar-25,Perry,4,,1,0,0,5,,,8,
25-Mar-25,Perry,5,,2,2,0,9,,,7.5,
25-Mar-25,Perry,6,,3,12,7,19,,,15.5,
25-Mar-25,Perry,7,,2,5,2,20.2,,,6,
25-Mar-25,Perry,8,,3,7,1,9.2,,,6.5,
25-Mar-25,Perry,9,,8,15,6,15.8,,,18.5,
25-Mar-25,Perry,10,,7,10,10,16,,,7.3,
25-Mar-25,Perry,11,,1,0,1,7,,,3.5,
25-Mar-25,Perry,12,,2,2,3,7,,,10.9,
25-Mar-25,Perry,13,,1,1,1,4,,,6.5,
25-Mar-25,Perry,14,,3,0,6,9.5,,,12.5,
25-Mar-25,Perry,15,,2,1,2,8.5,,,4,
26-Mar-25,Percos,1,,2,3,0,15,3.3,,27,
26-Mar-25,Percos,2,,0,2,0,15,,,11,
26-Mar-25,Percos,3,,2,13,1,116.5,4,,23,
26-Mar-25,Percos,4,,1,1,0,15,4.4,,22,
26-Mar-25,Percos,5,,0,2,1,14.8,,,16.5,
26-Mar-25,Percos,6,,2,9,2,15.5,4.4,,27,
26-Mar-25,Percos,7,,1,0,0,20.5,4,,26.5,
26-Mar-25,Percos,8,,0,2,0,16.5,,,21.5,
26-Mar-25,Percos,9,,1,1,0,26,3.5,,28,
26-Mar-25,Percos,10,,0,1,0,16.5,,,14.5,
26-Mar-25,Percos,11,,1,1,0,17,4,,29,
26-Mar-25,Percos,12,,0,1,0,18,,,,
26-Mar-25,Percos,13,,0,1,0,19,,,21.5,
26-Mar-25,Percos,14,,2,3,0,16,5,,26,
26-Mar-25,Percos,15,,1,5,0,26.5,4.5,,,
