SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Population,Plant,Top or Bottom,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,15:07:00,2025-03-03,Petal_2025,glb and ks,,,001,001,-0.003770,1.900866,-0.003777,-0.048256,1.033620,1.035442,2.313406,1.279786,10.165741,10.147853,22.712515,0.298530,1.800000,41.09,41.16,21.13,19.77,19.77,101.86,79.7,79.5,0.3,238,4.150,15:06:35,2025-03-03,-0.33,1,-0.000,-0.000,0.003,-0.010,-0.026,-0.053,1,75,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.468898,2.506530,1.061276,0.756915,0.318443,-0.014621,0.049436,0.315965,42.919636,0.000135,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-02-19T19:56:10.002Z
2,15:07:14,2025-03-03,Petal_2025,glb and ks,,,002,002,-0.000766,1.900978,-0.000767,-0.009823,1.025842,1.026213,2.309730,1.283887,10.075163,10.071522,22.676477,0.298530,1.800000,40.86,40.88,21.09,19.74,19.74,101.86,79.7,80.0,-0.4,244,4.150,15:06:35,2025-03-03,-0.33,1,-0.000,0.000,-0.001,-0.011,-0.021,-0.043,1,75,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.468494,2.506197,1.061317,0.758086,0.318866,-0.014528,0.050702,0.321393,42.609573,0.000132,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-02-19T19:56:10.002Z
3,15:07:47,2025-03-03,Petal_2025,glb and ks,,,003,003,-0.002606,1.894119,-0.002610,-0.035224,1.037191,1.038527,2.388968,1.351777,10.195256,10.182139,23.452585,0.298530,1.800000,41.47,41.52,21.03,20.29,20.29,101.86,79.4,79.4,-0.1,96,4.149,15:06:35,2025-03-03,-0.33,1,-0.001,-0.001,-9999.000,-0.002,-0.011,-9999.000,1,75,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.469442,2.507123,1.058829,0.756785,0.319649,-0.007720,0.054014,0.191546,42.032360,0.000136,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-02-19T19:56:10.002Z
4,15:08:03,2025-03-03,Petal_2025,glb and ks,,,004,004,-0.003179,1.907677,-0.003185,-0.041125,1.030058,1.031604,2.323816,1.293758,10.127414,10.112239,22.813267,0.298530,1.800000,41.30,41.36,20.99,19.84,19.84,101.86,80.1,79.7,0.5,231,4.149,15:06:35,2025-03-03,-0.33,1,-0.001,-0.000,-9999.000,-0.007,-0.011,-9999.000,1,75,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.469217,2.506877,1.063758,0.757343,0.320231,-0.012213,0.055574,0.309330,41.832088,0.000134,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-02-19T19:56:10.002Z
5,15:08:19,2025-03-03,Petal_2025,glb and ks,,,005,005,0.027366,1.898102,0.026977,0.337501,1.036967,1.024200,2.290454,1.253487,10.055226,10.180566,22.486843,0.298530,1.800000,41.72,41.21,20.93,19.61,19.61,101.86,79.6,79.7,-0.2,97,4.148,15:06:35,2025-03-03,-0.33,1,-0.000,-0.001,-9999.000,-0.008,-0.010,-9999.000,1,75,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.469004,2.507520,1.060273,0.757411,0.320950,-0.014177,0.057248,0.192236,41.651844,0.000139,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-02-19T19:56:10.002Z
6,15:09:37,2025-03-03,Petal_2025,glb and ks,,,006,006,-0.004679,1.901756,-0.004690,-0.060893,1.001213,1.003512,2.302233,1.301019,9.851972,9.829406,22.602154,0.298530,1.800000,40.70,40.80,20.76,19.69,19.69,101.86,79.8,80.0,-0.3,143,4.147,15:06:35,2025-03-03,-0.33,1,0.000,0.001,0.003,-0.001,-0.004,-0.013,1,75,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.468446,2.506029,1.061600,0.757969,0.323140,-0.011316,0.065328,0.232329,41.006683,0.000137,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-02-19T19:56:10.002Z
7,15:09:55,2025-03-03,Petal_2025,glb and ks,,,007,007,-0.002940,1.901336,-0.002945,-0.036942,0.999291,1.000685,2.256825,1.257535,9.823740,9.810046,22.155275,0.298530,1.800000,40.78,40.84,20.70,19.37,19.37,101.86,79.7,79.4,0.4,58,4.146,15:06:35,2025-03-03,-0.33,1,-0.000,-0.000,-9999.000,-0.004,-0.006,-9999.000,1,75,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.468519,2.506160,1.061447,0.756775,0.323949,-0.014180,0.067113,0.158145,40.894390,0.000143,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-02-19T19:56:10.002Z
8,15:10:33,2025-03-03,Petal_2025,glb and ks,,,008,008,-0.005269,1.906987,-0.005284,-0.080407,0.993378,0.996402,2.516529,1.523151,9.783324,9.753630,24.708918,0.298530,1.800000,40.74,40.86,20.62,21.13,21.13,101.85,80.0,80.0,0.1,1268,4.146,15:06:35,2025-03-03,-0.33,1,0.000,-0.000,-9999.000,-0.006,-0.004,-9999.000,1,75,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.468567,2.506108,1.063506,0.757941,0.324968,0.006555,0.071018,1.218799,40.680885,0.000136,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-02-19T19:56:10.002Z
