SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Population,Plant,Top or Bottom,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
2,15:50:36,3/7/25,Petal_2025,glb and ks,,Perry,1,bottom,0.011878,1.901821,0.011804,0.117496,0.987059,0.980505,1.984543,0.997484,9.641151,9.705594,19.5137,0.441786,7.5,43.78,43.49,19.36,17.32,17.32,101.7,79.8,79.9,-0.1,233,4.149,15:46:53,3/7/25,-0.19,1,-0.001,-0.001,-0.002,0,-0.004,-0.01,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.472629,2.510737,1.061624,0.757743,0.341918,-0.021537,0.069398,0.311242,40.956261,0.000142,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-03T23:21:16.747Z
4,15:51:48,3/7/25,Petal_2025,glb and ks,,Perry,2,bottom,0.006043,1.905726,0.006024,0.064078,0.965598,0.962033,2.031231,1.065633,9.461122,9.496181,19.97616,0.441786,7.5,43.83,43.67,18.98,17.69,17.69,101.68,80,79.4,0.7,1241,4.147,15:46:53,3/7/25,-0.19,1,-0.001,-0.001,-9999,-0.001,-0.002,-9999,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.47297,2.510899,1.063046,0.756717,0.34707,-0.013305,0.076409,1.195403,40.498497,0.000145,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-03T23:21:16.747Z
6,15:52:22,3/7/25,Petal_2025,glb and ks,,Perry,3,bottom,0.007967,1.902278,0.007934,0.080551,0.974969,0.970479,1.991906,1.016937,9.547452,9.591622,19.596119,0.441786,7.5,44.6,44.39,18.86,17.38,17.38,101.65,79.8,79.7,0.1,190,4.147,15:46:53,3/7/25,-0.19,1,0,0,-9999,0.002,-0.005,-9999,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.474038,2.512072,1.06179,0.757445,0.348799,-0.015309,0.079645,0.273828,40.377617,0.000139,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-03T23:21:16.747Z
8,15:52:57,3/7/25,Petal_2025,glb and ks,,Perry,4,bottom,0.009371,1.901875,0.009325,0.094262,0.974976,0.96972,1.987507,1.012531,9.540006,9.591709,19.552883,0.441786,7.5,45.02,44.78,18.71,17.35,17.35,101.65,79.8,79.4,0.5,129,4.146,15:46:53,3/7/25,-0.19,1,-0.001,-0.001,-9999,-0.002,-0.004,-9999,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.474624,2.512736,1.061643,0.756752,0.350924,-0.013992,0.083143,0.219994,40.24744,0.000143,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-03T23:21:16.747Z
10,15:53:42,3/7/25,Petal_2025,glb and ks,,Perry,5,bottom,0.005803,1.901043,0.005785,0.053721,0.959396,0.956399,1.890128,0.930732,9.408673,9.438161,18.594334,0.441786,7.5,44.87,44.73,18.51,16.55,16.55,101.65,79.7,79.7,0,142,4.146,15:46:53,3/7/25,-0.19,1,0,0,-0.001,-0.003,-0.001,-0.015,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.474594,2.512552,1.061341,0.757374,0.353793,-0.020358,0.087357,0.23159,40.057899,0.000142,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-03T23:21:16.747Z
12,15:54:12,3/7/25,Petal_2025,glb and ks,,Perry,6,bottom,0.010188,1.897299,0.010134,0.09845,0.973062,0.967555,1.946409,0.973347,9.518286,9.572455,19.14772,0.441786,7.5,45.89,45.63,18.37,17.01,17.01,101.65,79.5,79.4,0.2,117,4.145,15:46:53,3/7/25,-0.19,1,0,0,-9999,0.001,-0.002,-9999,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.475911,2.514097,1.059981,0.756712,0.35569,-0.013834,0.090169,0.209556,39.955975,0.000141,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-03T23:21:16.747Z
14,15:54:41,3/7/25,Petal_2025,glb and ks,,Perry,7,bottom,0.013633,1.894047,0.013535,0.123989,0.957753,0.950801,1.876032,0.91828,9.352613,9.420997,18.453714,0.441786,7.5,45.49,45.16,18.26,16.44,16.44,101.66,79.3,79.6,-0.4,66,4.144,15:46:53,3/7/25,-0.19,1,0,0.001,-0.002,-0.004,-0.011,-0.02,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.475267,2.513533,1.058803,0.75726,0.357324,-0.018868,0.092743,0.165454,39.797188,0.000144,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-03T23:21:16.747Z
16,15:55:31,3/7/25,Petal_2025,glb and ks,,Perry,8,bottom,0.012154,1.905836,0.012077,0.113943,0.959678,0.953341,1.905197,0.945519,9.378571,9.44091,18.742533,0.441786,7.5,46.2,45.89,18.05,16.68,16.68,101.65,80,79.7,0.4,228,4.144,15:46:53,3/7/25,-0.19,1,0,-0.001,-9999,-0.003,-0.003,-9999,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.476361,2.51463,1.063086,0.757304,0.360406,-0.01384,0.097248,0.30714,39.64019,0.000154,2.400461,-0.000053,1,2.435166,-0.000058,1,0.601058,0.603298,0.107219,0,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-03T23:21:16.747Z
