SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Population,Plant,Top or bottom,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,08:45:41,2025-04-30,Petal_2025_low,glb and ks,,,001,,-0.004827,1.897601,-0.004840,-0.056666,1.053169,1.056311,2.215262,1.162093,10.470244,10.439098,21.957853,0.441786,7.500000,46.89,47.03,19.29,19.07,19.07,100.89,79.5,79.6,-0.1,7,4.135,08:45:20,2025-04-30,-0.19,1,-0.000,0.000,-0.003,-0.015,-0.028,-0.056,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.477703,2.515369,1.060091,0.757147,0.342766,-0.001506,0.049217,0.113357,42.294861,0.000140,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-04-17T20:38:22.057Z
2,08:46:13,2025-04-30,Petal_2025_low,glb and ks,,,002,,-0.000809,1.897522,-0.000809,-0.009246,1.083792,1.084305,2.217609,1.133817,10.747740,10.742660,21.981176,0.441786,7.500000,48.17,48.20,19.32,19.09,19.09,100.89,79.5,79.9,-0.4,7,4.135,08:45:20,2025-04-30,-0.19,1,0.000,-0.000,-9999.000,-0.005,-0.015,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.479351,2.517253,1.060062,0.757755,0.342403,-0.001616,0.052410,0.113282,41.653633,0.000134,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-04-17T20:38:22.057Z
3,08:46:31,2025-04-30,Petal_2025_low,glb and ks,,,003,,0.000879,1.899408,0.000878,0.009954,1.092791,1.092240,2.217561,1.124770,10.826934,10.832397,21.981785,0.441786,7.500000,48.53,48.50,19.34,19.09,19.09,100.88,79.6,79.8,-0.2,7,4.134,08:45:20,2025-04-30,-0.19,1,-0.000,-0.000,-9999.000,-0.010,-0.014,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.479780,2.517768,1.060747,0.757609,0.342191,-0.001795,0.054202,0.113271,41.403294,0.000139,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-04-17T20:38:22.057Z
4,08:46:56,2025-04-30,Petal_2025_low,glb and ks,,,004,,-0.000750,1.893519,-0.000751,-0.008532,1.093661,1.094136,2.221537,1.127875,10.845510,10.840809,22.020761,0.441786,7.500000,48.49,48.51,19.36,19.12,19.12,100.88,79.3,79.5,-0.2,6,4.134,08:45:20,2025-04-30,-0.19,1,0.000,0.000,-9999.000,-0.001,-0.011,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.479781,2.517703,1.058612,0.756909,0.341831,-0.001771,0.056774,0.112475,41.102528,0.000134,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-04-17T20:38:22.057Z
5,08:47:13,2025-04-30,Petal_2025_low,glb and ks,,,005,,-0.000976,1.898712,-0.000976,-0.011519,1.098503,1.099141,2.269086,1.170583,10.894966,10.888642,22.491751,0.441786,7.500000,48.64,48.67,19.38,19.46,19.46,100.89,79.6,79.5,0.1,7,4.133,08:45:20,2025-04-30,-0.19,1,-0.001,-0.000,-9999.000,-0.005,-0.010,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.480001,2.517921,1.060494,0.756974,0.341548,0.001797,0.058520,0.113259,40.927292,0.000139,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-04-17T20:38:22.057Z
6,08:47:29,2025-04-30,Petal_2025_low,glb and ks,,,006,,-0.000159,1.897349,-0.000159,-0.001793,1.103848,1.103948,2.226040,1.122192,10.942660,10.941675,22.065182,0.441786,7.500000,48.81,48.81,19.41,19.15,19.15,100.88,79.5,79.6,-0.0,7,4.133,08:45:20,2025-04-30,-0.19,1,-0.000,-0.000,-9999.000,-0.003,-0.011,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.480203,2.518166,1.059999,0.757086,0.341247,-0.001891,0.060160,0.113564,40.779949,0.000139,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-04-17T20:38:22.057Z
7,08:47:51,2025-04-30,Petal_2025_low,glb and ks,,,007,,0.001022,1.907406,0.001022,0.013013,1.099980,1.099264,2.362676,1.262696,10.896015,10.903116,23.419094,0.441786,7.500000,48.54,48.51,19.44,20.11,20.11,100.89,80.1,79.7,0.4,5,4.131,08:45:20,2025-04-30,-0.19,1,-0.000,0.000,-0.001,-0.003,-0.010,-0.017,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.479769,2.517768,1.063659,0.757469,0.340816,0.008517,0.062456,0.111474,40.591476,0.000140,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-04-17T20:38:22.057Z
8,08:48:04,2025-04-30,Petal_2025_low,glb and ks,,,008,,-0.000084,1.900306,-0.000084,-0.000949,1.098643,1.098695,2.219141,1.120498,10.889868,10.889347,21.995321,0.441786,7.500000,48.43,48.43,19.45,19.10,19.10,100.89,79.7,79.4,0.4,6,4.132,08:45:20,2025-04-30,-0.19,1,0.000,-0.001,-9999.000,-0.005,-0.007,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.479654,2.517598,1.061073,0.756675,0.340571,-0.003008,0.063736,0.112279,40.495277,0.000143,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-04-17T20:38:22.057Z
