LeBuhn3,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Comments,Serial Number
1,3/10/2025 13:30,21,44.5,8.5,,65057165
2,3/10/2025 14:00,21,44.5,8.5,,
3,3/10/2025 14:30,21.5,44,8.7,,
4,3/10/2025 15:00,21,49,9.9,,
5,3/10/2025 15:30,21.5,42.5,8.2,,
6,3/10/2025 16:00,21.5,43,8.4,,
7,3/10/2025 16:30,21,43.5,8.1,,
8,3/10/2025 17:00,21,43,8,,
9,3/10/2025 17:30,21,43.5,8.1,,
10,3/10/2025 18:00,21,43,8,,
11,3/10/2025 18:30,21,43,8,,
12,3/10/2025 19:00,16,48,5,,
13,3/10/2025 19:30,14,54,4.9,,
14,3/10/2025 20:00,12,57.5,3.9,,
15,3/10/2025 20:30,12,58.5,4.1,,
16,3/10/2025 21:00,11,69,5.5,,
17,3/10/2025 21:30,10.5,73.5,6,,
18,3/10/2025 22:00,10,74.5,5.7,,
19,3/10/2025 22:30,9.5,73,4.9,,
20,3/10/2025 23:00,10.5,61,3.3,,
21,3/10/2025 23:30,10.5,66,4.4,,
22,3/11/2025 0:00,10.5,66,4.4,,
23,3/11/2025 0:30,11.5,76,7.4,,
24,3/11/2025 1:00,11.5,81.5,8.4,,
25,3/11/2025 1:30,11.5,69,6,,
26,3/11/2025 2:00,12,61.5,4.8,,
27,3/11/2025 2:30,11.5,64.5,5,,
28,3/11/2025 3:00,11.5,68,5.8,,
29,3/11/2025 3:30,12,65.5,5.7,,
30,3/11/2025 4:00,11.5,71,6.4,,
31,3/11/2025 4:30,11,78,7.3,,
32,3/11/2025 5:00,11,76,6.9,,
33,3/11/2025 5:30,11,73,6.4,,
34,3/11/2025 6:00,11.5,64,4.9,,
35,3/11/2025 6:30,11,73,6.4,,
36,3/11/2025 7:00,10.5,79,7,,
37,3/11/2025 7:30,10.5,79.5,7.1,,
38,3/11/2025 8:00,9.5,88,7.6,,
39,3/11/2025 8:30,9.5,90,7.9,,
40,3/11/2025 9:00,9.5,90.5,8,,
41,3/11/2025 9:30,10,86,7.8,,
42,3/11/2025 10:00,11,82.5,8.1,,
43,3/11/2025 10:30,11,81.5,8,,
44,3/11/2025 11:00,12,78.5,8.4,,
45,3/11/2025 11:30,13.5,70.5,8.2,,
46,3/11/2025 12:00,13.5,70,8.1,,
47,3/11/2025 12:30,15,71,9.8,,
48,3/11/2025 13:00,14.5,72,9.5,,
49,3/11/2025 13:30,15,73,10.2,,
50,3/11/2025 14:00,15.5,70,10.1,,
51,3/11/2025 14:30,15.5,67,9.4,,
52,3/11/2025 15:00,15.5,66.5,9.3,,
53,3/11/2025 15:30,16.5,63.5,9.6,,
54,3/11/2025 16:00,17,65,10.4,,
55,3/11/2025 16:30,17,63.5,10,,
56,3/11/2025 17:00,16.5,64,9.7,,
57,3/11/2025 17:30,16.5,64,9.7,,
58,3/11/2025 18:00,16,65,9.4,,
59,3/11/2025 18:30,15,65,8.5,,
60,3/11/2025 19:00,14.5,68.5,8.8,,
61,3/11/2025 19:30,12.5,73.5,7.9,,
62,3/11/2025 20:00,11.5,77.5,7.7,,
63,3/11/2025 20:30,11,80,7.7,,
64,3/11/2025 21:00,10.5,80.5,7.3,,
65,3/11/2025 21:30,9.5,82.5,6.7,,
66,3/11/2025 22:00,10,82,7.1,,
67,3/11/2025 22:30,11,80.5,7.8,,
68,3/11/2025 23:00,11,78,7.3,,
69,3/11/2025 23:30,10.5,79.5,7.1,,
70,3/12/2025 0:00,10.5,80.5,7.3,,
71,3/12/2025 0:30,10,81,6.9,,
72,3/12/2025 1:00,10,80.5,6.8,,
73,3/12/2025 1:30,9.5,81,6.4,,
74,3/12/2025 2:00,9.5,82,6.6,,
75,3/12/2025 2:30,8.5,84,6,,
76,3/12/2025 3:00,9,83.5,6.4,,
77,3/12/2025 3:30,8,87.5,6.1,,
78,3/12/2025 4:00,7,92,5.8,,
79,3/12/2025 4:30,10,86.5,7.9,,
80,3/12/2025 5:00,10,88,8.1,,
81,3/12/2025 5:30,10,90.5,8.5,,
82,3/12/2025 6:00,10.5,90,8.9,,
83,3/12/2025 6:30,10.5,89,8.8,,
84,3/12/2025 7:00,9.5,91,8.1,,
85,3/12/2025 7:30,10,90.5,8.5,,
86,3/12/2025 8:00,10.5,90.5,9,,
87,3/12/2025 8:30,11.5,92.5,10.3,,
