"Time","Dangermond_North Beach Air Temp Avg degC","Dangermond_North Beach Relative Humidity Max %","Dangermond_North Beach Relative Humidity Min %"
"2025-03-01 00:00:00",12.47,91,88.7
"2025-03-01 00:10:00",12.66,90.3,88.3
"2025-03-01 00:20:00",12.71,90.1,87.6
"2025-03-01 00:30:00",12.49,91.8,87.8
"2025-03-01 00:40:00",12.44,91.4,89.2
"2025-03-01 00:50:00",12.41,92.3,89.3
"2025-03-01 01:00:00",12.59,92.8,86.6
"2025-03-01 01:10:00",12.42,92.1,89.3
"2025-03-01 01:20:00",12.29,93,89.5
"2025-03-01 01:30:00",12.15,92.4,88.8
"2025-03-01 01:40:00",12.02,93.6,88.8
"2025-03-01 01:50:00",11.84,93,89.5
"2025-03-01 02:00:00",11.51,94.9,90.6
"2025-03-01 02:10:00",11.35,97.1,90.8
"2025-03-01 02:20:00",10.84,98.1,91.7
"2025-03-01 02:30:00",11.15,93.3,89.3
"2025-03-01 02:40:00",11.66,92.2,86.8
"2025-03-01 02:50:00",11.99,90,87
"2025-03-01 03:00:00",11.92,91.2,87.1
"2025-03-01 03:10:00",11.68,92.4,87.8
"2025-03-01 03:20:00",11.74,91.1,88.2
"2025-03-01 03:30:00",12.44,88.5,82.7
"2025-03-01 03:40:00",12.59,88.2,80.5
"2025-03-01 03:50:00",12.71,87.9,80.7
"2025-03-01 04:00:00",13.22,82.1,76.8
"2025-03-01 04:10:00",13.82,80.5,66.6
"2025-03-01 04:20:00",14.13,74.4,67.5
"2025-03-01 04:30:00",13.66,77,69.1
"2025-03-01 04:40:00",13.55,80.9,68.6
"2025-03-01 04:50:00",13.24,81.6,71
"2025-03-01 05:00:00",12.62,87.3,81.9
"2025-03-01 05:10:00",12.82,88.5,74.7
"2025-03-01 05:20:00",13.5,81.7,71.4
"2025-03-01 05:30:00",13.42,76.9,72.6
"2025-03-01 05:40:00",13.08,80.1,69.9
"2025-03-01 05:50:00",13.52,77.6,59.7
"2025-03-01 06:00:00",14.64,69,59.1
"2025-03-01 06:10:00",13.64,72.3,59.9
"2025-03-01 06:20:00",15.01,63.3,56.1
"2025-03-01 06:30:00",14.1,68.9,52.7
"2025-03-01 06:40:00",13.73,67.6,57.4
"2025-03-01 06:50:00",13.07,74.9,59.6
"2025-03-01 07:00:00",13.04,69.1,62.1
"2025-03-01 07:10:00",12.78,79.5,61.7
"2025-03-01 07:20:00",12.52,83.3,77.7
"2025-03-01 07:30:00",12.73,84.1,78.2
"2025-03-01 07:40:00",13.42,79,73.8
